Meter Reading (MR) Doc. No.,EQUNR,Geplante Ableseart,MR type,MR TYPE TEXT,MR category,ISTABLART_TXT,LOGIKZW,KENNZIFF,Record created on,Object changed on
"t+jJAVhOQqtRjhGwqypWqVvMkRPlkRTCYYSIcCy","dEUwnOSzCAVntOQhNrADbRfiAlBaOwSljqxYeui","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","NVmRNwCNSUEtVQ+IUIREQRGul/MxKZXZrfLMTPq","1-0:1.8.0",2020-09-03T00:00:00,2020-09-15T00:00:00
"lzvENhJWJRmHEzrTji+iGdubZIZm+DPaKWnXWZm","kTCWRrrX+oRBKgVlSdQUtQuqCWeWSUlPTSWzWXH","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","VUHwOfZkBCDXHmjHIc+vMtxYbTqjURH++EIPxIl","1-1:1.8.0",2020-09-03T00:00:00,2020-09-14T00:00:00
"latbitejyRZoYEkjhYpEe+YjvYSFDUFyuUoYKeC","RYQfBRScbVWjRieZMykRxyeoBebxNRPQewIDcKU","01","04","Ablesung abgeleitet","04","Ablesung abgeleitet - SAP","aZSWvlAXTFUTxpuypTWppXXXkrbrVYYyDwTMACR","1-1:1.8.0",2021-09-02T00:00:00,2021-10-01T00:00:00
"qxvBxSSXIifZGzwXdPOQGvTTXZZRUmpqRYQMbXS","V/+YbbQhHYwZJySYRsWQMcyVUANPSuiJWYUQfOJ","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","PxUtWLF/kRzthiFCQqi+zUQJyqxfjkQJdvN+QYk","1-1:1.8.0",2021-09-02T00:00:00,2021-09-09T00:00:00
"XpcHvbOsWrfDqRWfYXSwjTEqmWhYdvYWVYKGh+t","PRJCDPTPYQKJXHDPlaVUTXXWwuCUroouUMndiKn","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","VfKdEzoXqijTsZrqLRYBzr+bXSTtjCFThAuWqlB","1-1:1.8.0",2021-09-02T00:00:00,2021-10-05T00:00:00
"QqVTRWSpVRdEjUGRPYETXKooForsZekHDUTOuJB","'+ViYUtTXLbuQAmdFpwjdtBEsOhRDnUSGYYLVCZV","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","WzWkVbDVYSSSMVnCCUNIRTCGPByP+tBsSVRPUVI","1-1:1.8.0",2021-09-02T00:00:00,2021-09-21T00:00:00
"zQM/lXUUrURJUQdRkiIwvYcWsiKnuiIprmtjUZm","n/W/QjcwBbVOqTSRBovEOuqVNRISRmVScZDV+en","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","yYX/XRpWhpIKfDygtwJWWZBBREkQPZNYWULwuGi","1-1:1.8.0",2021-09-02T00:00:00,2021-09-15T00:00:00
"RlhPtTQpouaMktWW/UMpLRXDlaKqnUlBgWVaYLX","ZtXNXLEgaANJgvVhurSiTPtjzSe+CUcoDYTvCRq","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","VXHlQjAuRrWjqY+LZ//hGqxdtZEjiUkPOWwXNLn","1-0:1.8.0",2021-09-02T00:00:00,2022-02-21T00:00:00
"jYUZQPvOFJYOtesIyXId+ryQShvouYACTUGCgsF","t/FFZuxXxkdJYBTxfTMpAGCHNtKBcokXeAdioNb","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","YrjhjsfgQjPWXAeYQTswp+girrQUbtfQfwgGRMG","1-1:1.8.0",2021-09-02T00:00:00,2021-09-23T00:00:00
"pFYvbFwpSJQQDMNjQVn+xwhsY+lsTXNGIVfdDsU","jixepxvSOCmNRHRxwaKRGqhIYyZHOWDYcDbgGmW","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","yYJDwmWhtOwSgCYyzZgzCWTZQcZQtkXeblqVzX+","1-0:1.8.0",2021-09-02T00:00:00,2021-09-13T00:00:00
"WTQwWaQwMcZYxpSTZOjMWpZbTdVXuVgURqRiuJA","xXeVgSwoVGUXXtYApmhIkSlV+QDfWuoGTMN/JO+","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","lCWCZzRMypScCETuZrGarJxWbgUEGRFUswTlsv/","1-1:1.8.0",2021-09-02T00:00:00,2021-11-04T00:00:00
"HoKtYaUuYUTFFqIgyWpYiUpSlJbjfzUwnIdJXAy","ZDSwWhXeTYRmhl+SUtgVoitBMoTtqVpzSQPQQYe","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","SmX/WKBSXCEACWEOZXVVSgaPavYbvQdArRADVvm","1-0:1.8.2",2021-09-02T00:00:00,2023-01-11T00:00:00
"IrYqZAlg/phoJNLvXmETENQiTZtrFks+yKCZWXf","YBCQJPs+NKSFzRxOoBdQsc+iUQcvbmmbPFBhHQJ","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","UtvJTRQodRBAYZzuSXZsEFzXUVVFV+aUoehSrVh","1-1:1.8.0",2021-09-02T00:00:00,2022-05-30T00:00:00
"pdMmkSh+SQvhrRooWpmHCZGlznRQLDyAicJpBgU","AtXWWfoZi/TRTCqUIHbmEY/YmUQPZVCcCSzEQQR","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","BjEqZXiuYUIcGEmQORXawAjXSnwlunFhDRVUTTV","1-1:1.8.0",2021-09-02T00:00:00,2022-01-28T00:00:00
"PyuEGpTAKYRuaGwnEooIHWfPpptGWrhRoMySVUh","LCNUZVRFjBAhBjjXQsUvhScipzovwlg/SjkYnun","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","PKvaGVLdGVdXT/oMiZTJWaWrFIMKWURjspQwaLT","1-1:1.8.0",2021-09-02T00:00:00,2021-09-14T00:00:00
"bV+LUewSX+MazMWrmbQpVBDrXXjEfMvYhiUXBWP","cAccXXTSSfaqMRSvmdSYfDJrEsVVbOqeiLpNQQX","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","TdOJmHPYbUYurJXyUqXUhDFFrbwQYUrQyJSLHCg","1-1:1.8.0",2021-09-02T00:00:00,2021-09-10T00:00:00
"qFKpZFdMTyWzlTAvaLYlXsKXahjhSRTXWJcbSPA","/XGlFCUnXTbuE+AneQCImuxIcTBLUWFXtKUBNxx","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","lvYJXpXfycFWRDGiElsCrhUTwJpaUkNEWYfEVwF","1-1:1.8.0",2021-09-02T00:00:00,2021-09-13T00:00:00
"YZJWCrUytwejUix+ejbOUlCjrJUQWbcvjXmOewA","kTCWRrrX+oRBKgVlSdQUtQuqCWeWSUlPTSWzWXH","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","VUHwOfZkBCDXHmjHIc+vMtxYbTqjURH++EIPxIl","1-1:1.8.0",2021-09-02T00:00:00,2021-09-13T00:00:00
"fhmeilGpa+SARrBOrbNBZXHWrySdfO/lIrXcUXZ","YYnUKXplZbKZMWLiHYdRryvOHcWLjRlMklCpwTT","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","YUODFSaoZOHkbPUYjbkQkpNjGbKP/e+aBHgxiAA","1-1:1.8.0",2021-09-02T00:00:00,2021-09-17T00:00:00
"JlVKVVWpDev/TlyvSZdwUmaevOeaQyymUpOmQIN","MhYESzFlhooOfiWVIWXRTlhyKaPTjTXEvShoDFP","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","TarVuhjWQEITSkddphYiFYROCTeLgRujCijpQym","1-1:1.8.0",2021-09-02T00:00:00,2021-09-14T00:00:00
"JUCUvrIRich+NWgiUuhV/YumgsRWPF/UdYnVNih","WPpPsYZiZfQxXrDYzayOxFXHegpnMdTZIfVzGQM","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","vznfSdmEiOUVsJBxgiYOtKiy+lNUeXRVPTXjyTl","1-0:1.8.2",2021-09-02T00:00:00,2022-12-19T00:00:00
"hUXhUoanfFzRYFBWjInM+PdXFTG+yME+Uf+Phj+","dWJrYQQHTAquthQuCprRKiRMSeUUVxilqgpqJOD","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","GXKCUyIyUEQQOn+cgsNibmMdaUcMvYlSOaoSACI","1-1:1.8.0",2021-09-02T00:00:00,2021-09-17T00:00:00
"TMKXepkVlVqSbSEVPDoic/TDQJRnQtiTmpbKR/b","JayIsxrYHUB/crlqoASXpKyqBgSHclxslaEeOFt","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","wiUqhSCrvtbBeDZBiYS/kLUc+VhdrsjSSJzWazS","1-1:1.8.0",2021-09-02T00:00:00,2021-10-01T00:00:00
"HNPW/JSSCRMBnBUOVFeuWfHkZRYgqOgaQDsbfV+","BYxfewASAfOQZhIRpODIVUFTWTVHaunYXbLCXfQ","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","TjOCKXQna/HSbBhvoPDIZsVFQZZxUTsQTDvRBKn","1-0:1.8.0",2021-09-02T00:00:00,2021-09-09T00:00:00
"Aczv//DBRRheRM+nMMgYT+SYRxCCxSupRHYSrpL","cEBKInUrNVYwZPcmzlTDeYwPMwrQftIaetJSNxl","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","fTVMSRwkjErzSUBWDvuZDCIQowRxSgtKDackMuT","1-1:1.8.0",2021-09-02T00:00:00,2021-09-13T00:00:00
"omTYEOMRRZZtjRPNmkRKWMjhE+BpLNLzKzYkQIy","btJWxYRLUIQOIONVHpQO+tsioQtFCJbjZFmoYCH","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","WBkSHVBQUqbQZvSDSASHSRUwiDMZubVaZaRVpIT","1-1:1.8.0",2021-09-02T00:00:00,2021-09-13T00:00:00
"hRdX/XnDkADjsEDuqXNzMNZTuWOZNpKOfCcBJtr","NVhUdMorRFDqIVcokVRnVyYvYXnmQZaKa/OdhZP","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","ZnGFCxINezKvhwvUCSVOWaUBLroSewiQSPfQG+U","1-0:1.8.1",2021-09-02T00:00:00,2023-01-11T00:00:00
"MSgyVlhesoEJdWloukRTwTqwQwXQMRpuNXVEpNh","/uUqXKReZyaRwNPBSXiSEVQSpXUYzQiieOErBtD","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","aZmbEXJHIikFUsTWZAFOAPptSYRTYTjXZqeHOFg","1-0:1.8.0",2021-12-13T00:00:00,2022-01-04T00:00:00
"WsSmKTshdjaQlYUPJORWQGJKQmZpadQXIKoAHMo","uLkmVZeBsSddozDPJgoVoUbCyNeEVlkfEUQdZFu","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","WYpUhDSXzZMnmIeZYfo/QicUyzynXQOlLMvVzBV","1-1:1.8.0",2022-09-01T00:00:00,2022-09-08T00:00:00
"pAn/+MrjQRSRXWwvFQGZUQ+XXWSTxVkAStCRwKS","mYqaW+RGGUfoVYu/PQBExSpvrZrbA/lk+VtHcer","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","FCUfxvkDjnx+YdzymUzVkWQtUTbNkSWnQnqVTwg","1-0:1.8.0",2022-09-01T00:00:00,2022-09-08T00:00:00
"BsDGRRRYrMtMyeEreIvSpuRXTLUY/y/HdF/TwZf","GlhUQTgirqlTgRw+hILRjztSUaYKsZsqoGlsnLQ","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","OajTYTz+WqpvOZXXzSOroOMnCnfWjQSpSgZhRYB","1-1:1.8.0",2022-09-01T00:00:00,2022-09-08T00:00:00
"WGClkkbodHhhBmGNPrSBrcDgreOWkYqQWZ/I/IK","aEsiXvKZbpfBKRWNToHNKXqVzEBItlTUiuGzoyF","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","MXHTOEYYmVYVZ+jqlVeLByTQHKJTuOAMQWiaGVC","1-1:1.8.0",2022-09-01T00:00:00,2022-09-08T00:00:00
"UemXhOVnVTVJbkyU+TAJcTjSHNhWoMHTEI+cVxR","kEq+nWRtjxVURXb+SNXQMUqzPY+MCgD+OgouXSA","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","cuwobiSQnLDRWDSHSQNt+hgevTDWAV+oZsCsPvR","1-0:1.8.0",2022-09-01T00:00:00,2022-09-15T00:00:00
"gfPqpTzUQjDmSQDSydYlkFsQrOYzRcZoRSCYLLY","VQSWSAnGUWkmFJhQcwljGUjZVfvnBpMX+SwrZSx","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","FXmWTXSuTgqqeI+wYlnSebRVZZSyorstiNUSPdd","1-0:1.8.1",2022-09-01T00:00:00,2022-09-16T00:00:00
"UjQurRXjpTNFVFsQTVhmIZPTtAQykfyEGtkL+SV","xxfuDEzPGDmovZrUVmCgUUcYVANbV/QXGURQoIC","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","XRjWNHEVjADqhKXzCsWIADefyPUkRIdOqZtBVkh","1-1:1.8.0",2022-09-01T00:00:00,2022-09-16T00:00:00
"cwxadOtCUowLa+YSkrrTmLOAXofGQxGNejGZyVf","eJNYUKhnUUIVGMTXlSooUqoNlLyOQvk/uHnkyWO","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","SoGXYiBYYdHiWqiPhRcVFTByloIsNjQPZTcRfTO","1-1:1.8.0",2022-09-01T00:00:00,2022-09-16T00:00:00
"YNAUYxdbaXwYrgG+WXVGrVdQFnJEfFYYflc+tTs","SotRRdagUCSfsjmwyZQ+RQBeOvYudazTkRZEFEQ","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","jrLTl/VKPJggSPCYKkNbaIIEJWU/VpOzxLtwFWz","1-1:1.8.0",2022-09-01T00:00:00,2022-09-08T00:00:00
"SjotqhgGKGYQpNh+aN/GMZGOvQhYZqtpJZQC+LQ","uGaYfDpeDplubjrMVMRsIyDGQZEIgzmNRWkTonG","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","TSPlSZYDTVBF+K/HNPVQBVWKbRqJQTqLUJmDXwv","1-1:1.8.1",2022-09-01T00:00:00,2022-09-12T00:00:00
"hrLZZPzmQNBMKfFZjagmU+Y+VWAYKUMHCTHlwZi","pCevxKujurZGMyZMQkvSHjFNSZUwJWCZwAmuhVZ","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","bwtuLKYddiTfxYSVdXluCcYLSlRWRPTuKFcjrUt","1-1:1.8.0",2022-09-01T00:00:00,2022-09-14T00:00:00
"ZdSHwoK+XAhOTzXcNWCTgVKzdycyAaFSjrd+/QE","UVsmQE+BylC/jUxrdCVxpvqunsgdvkxQYS/RWZw","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","jJOCeETzYebCotgHIb+ziQZVYXLRuSOOBVzWIra","1-0:1.8.0",2022-09-01T00:00:00,2022-09-14T00:00:00
"AubsUfTUTXWXzJVCMPjwbmNcZlphLeSDm+rKhsb","SJUPyyXZaoIMSKKAzSVvPWWEqlxNVRXQpVXZwQq","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","ZpSrsFNZygZQaWPJCwRjTgiUdWam/aJzvyKfIgO","1-0:1.8.0",2022-09-01T00:00:00,2022-09-09T00:00:00
"keRdVoaukdetlle/GAKpoDBUCrWTMTtYwbvxSSf","yfRqnaIZizBVRIhwbbXVQSZSGMncWYLPrsYjJEy","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","TuCwwDZlKSAwgpefuZUyaixeHZZPqYytbSzqKaT","1-1:1.8.0",2022-09-01T00:00:00,2022-09-09T00:00:00
"EiSOWsmVchIAykQjZtiXvCKePkqpMUVVRaNgPHv","TEFrznZpcAVZRqSZLcUZDWREqUlVQSsfNQLSs+Z","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","iWcLzUqL/TUlCYcb/GYNTQqhYrxYQcqBTkYTZeq","1-1:1.8.0",2022-09-01T00:00:00,2022-09-06T00:00:00
"nyHhsYNIKRrmTfZnDJvlryQbqIWSLlCGKLYOVSb","zwIUpRIFUuQAqSErWCGYZR+mLmVQCkjkbBYNqvA","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","xLWpUUsyWHJfHTDbcZVTzXNHcQzLNnzWIWuBZua","1-0:1.8.0",2022-09-01T00:00:00,2022-09-09T00:00:00
"DZNloRUtIj/lWmNJaqN/ZSQOLkxFXr+hzKdYriQ","QLkXzXaQWOZepjTwtiGshrUFwPaOwRbfRFXT/OP","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","WlERreONdvqRchmCwWsbnvstVhbQNtpBSRVvAVz","1-0:1.8.0",2022-09-01T00:00:00,2022-09-08T00:00:00
"XPVDIpVbwzbHiYNKcIaIOLDrlQaaniUYSbJwVtz","cyHnkcBTtwfoWSFnmPGqwTZAkMYDHRwVC+nUsUc","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","KsGOZeNhPNWDkjSmB/fsLFRdMeJEYQQDKoEqbpU","1-1:1.8.0",2022-09-01T00:00:00,2022-09-16T00:00:00
"iynoGRCPBYvIpkHWy+emgCCsKPYMpwfWqmHUTbq","TBUfMkXfLoqXxBJdNFiAXkQfWBBrFaeFHEYwTfg","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","ObcPQhrqB+dDgyLuYTzWoLvvVONTMvjuLhKAerV","1-1:1.8.0",2022-09-01T00:00:00,2022-09-26T00:00:00
"fdafkEBhHoJAV/PaUWBAmYddUUbLX/Xot+ybViB","rtBHoSI/eebGImUsHkFKncziUjCXCPmCCbTgbFB","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","psXeEcUwfVKsG/YSYipmTQRSMfyUQWtPYEvVGAC","1-1:1.8.1",2022-09-01T00:00:00,2022-09-09T00:00:00
"dUQDROTJyBKFCXZTK+fEmZwiZYSfZZNtgLORTHG","VZAvypTKlYgLenUog/uWHswhmaRVWqesWZRYHxI","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","PzdkVhWipTnaKlYcD+eCZFZRaVotZoVz/UWtUwl","1-0:1.8.0",2022-09-01T00:00:00,2022-09-09T00:00:00
"MHlYQYib/npTRYZdtXvpiyz+IVMmqLYOfUNt+RU","qxqQVY+BxOenIX/PPTTQntSpPlXsbrBLRGVjURj","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","oEQvESsSMIhyU+hrgKYsWJSNSTYnuoAtwu+Wzqq","1-1:1.8.0",2022-09-01T00:00:00,2022-09-12T00:00:00
"SHsPkYUNRghB+UmKbXsYavCOEngHOkMTuvfqeYW","ZZO/ZbBlpVR+qZWdKuXzXAdkNzrwubqRfkQHQAc","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","WCMdXMuspmkNodYYjueHsTV+DTXmsrmebOFNkfC","1-0:1.8.0",2022-09-01T00:00:00,2022-09-13T00:00:00
"dZCDwljKjTAVCyHsR+q+KkHoW//VvZqjeSIeySl","SfOgjVFkSRYHoqVqmUYQcWXRLhJKRQWYOSVkEtH","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","TQrLWTkVggwEChOAryWTrAvWWYDTC+SXrPIWRZQ","1-0:1.8.0",2022-09-01T00:00:00,2022-09-14T00:00:00
"JtIxfDQUCVTeKUxlhiZRMrTyWeoZzVgUKc+LvEP","ZmkRSOhDVqejnWTmVFZXRJedRVXTaYoRFnqkCRW","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","/GIvPwzHMDVoSKsXAbWjhlJgZGeiyx+ITPdvYcI","1-1:1.8.0",2022-09-01T00:00:00,2022-10-17T00:00:00
"I/NvQ/XuSiomBTYsVXOBYRgJybyhNZNgQCZRTsm","zQmUXCpXdSAYTO/ZWwVSUZQRVqTTybSWRyYTngB","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","BFXROvPOsNdGKHvCjEPICaceYoDHrSaqClYWXWj","1-1:1.8.0",2022-09-01T00:00:00,2022-09-13T00:00:00
"TkWBItcR/KSHyZDQRtQBDcxtVBeNFrrILLuXDXV","HUHwLCpKYItuslMSIgvUOMYxXxyd+OiKRIUZHYS","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","AGR/dTzFjWZZeu+cuV+UrRUJzdP+lkwnSNTkryD","1-0:1.8.0",2022-09-01T00:00:00,2022-09-26T00:00:00
"buQAaxNgSxqZuPXRUBTtZDVECYRSqVjDOWIxtUQ","GFCXWhZLaexWaklyOyUsZUIjda+KsjvnxXuxlCS","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","XBZwXsAgXTYdCwqRwYLeXVRHJx+XkfsVlBxbSxg","1-1:1.8.0",2022-09-01T00:00:00,2022-09-14T00:00:00
"kSJd/+PwY+KyCfLl+RznqnYTUEAMSfV+sicVuxd","ReacQmVv+bgbJhaQSfBaUXGkOR+yFYFDKysuTTk","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","tbt/WipgBZCRIpAeUwSGdqWeTQrWSAuSYZrL/rI","1-1:1.8.0",2022-09-01T00:00:00,2022-09-09T00:00:00
"SQhtoYxxarhTuMYMUjuSBxrAzyRrYdNJmUdasRP","BDQ+JVvTuHJkpLTtOkJTwceOSaTRYXVSfxcZrDW","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","EWCAdIBWZARzocSUdLldAbSWVYXYkVZRLBFVFUI","1-1:1.8.0",2022-09-01T00:00:00,2022-09-08T00:00:00
"LVrXWubvUGE+iSQIhkTfYVswyRsAEZaKR+RJTXF","GTqboEZQICDsPSGEhQBSOKYujr+GfbZSlUGQFkV","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","J/oKmGmviPCkoBifmpZSojogXxkfVOXYtpwODyh","1-1:1.8.0",2022-09-01T00:00:00,2022-09-09T00:00:00
"BxwRRIUWAApvuXYcHeirtCxZGlsSttXBUpFvUTU","IxJFZdw+JUlDXtmtMxTtUEeupFVoNUWWZsxuEeW","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","yiMlfPgTCoVjBQsaiTWZbaMqzOQYIWYVhfKgSLV","1-1:1.8.0",2022-09-01T00:00:00,2022-09-12T00:00:00
"TCVEqUIfWdMwDWOoCStTFSEU+dW+SKuMLBjePqY","XWpmtxiWp/PDbYkOqtJp+UtJZQSGspYXQMZDkYc","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","XFVETzbSAgyURSswGZTmWbKaWNRsWFdtAUvDUUW","1-1:1.8.0",2022-09-01T00:00:00,2022-09-09T00:00:00
"pJpMKPqFqLLcAaIlLegTFRpYwJWIgIbyfGbmUkm","ZTyDtjXGlKOL+KVtvBblvS/AwwUmCZcCkSBVOcW","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","QgUbbVVSpsVLoXYKCnVWXukohVVYjdLUtEqvQAa","1-0:1.8.2",2022-09-01T00:00:00,2022-09-26T00:00:00
"DEoZdgRgWhXpuyVRAoLcrxOYeLMXsuShXOKfbIG","VQZgvqjqQJRKTkqoPQtjotYXzX/dWQovGwDWbLK","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","ZYTSLmWQYbjfbpMDVUWkSxSBIJXRHIIqSj+ozTM","1-0:1.8.0",2022-09-01T00:00:00,2022-09-13T00:00:00
