Meter Reading (MR) Doc. No.,EQUNR,Geplante Ableseart,MR type,MR TYPE TEXT,MR category,ISTABLART_TXT,LOGIKZW,KENNZIFF,Record created on,Object changed on
"xlInlsjVsdxTUyhihgvUjPKJxJkTPoFBsbQ+bVW","GOqYYtUZQTywRGVJPmctkVHGgZqZXhttEoZYVja","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","HZYAipxbHS/ZYYzSZhBuOqYaSSlRfglWhkTjRMH","1-1:1.8.1",2021-08-25T00:00:00,2021-09-06T00:00:00
"NGnevX+SpsJCyXuidtXBgDmeVXTxvvpTeWaUxmS","UTRUOSSqylDOUWT/qXJhSKuzBUmTuNH+llMnyHd","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","'+EkWwWnQaSDUvpXXTDCzAZWaBSRHJiNxBBYVfQS","1-0:1.8.0",2021-08-25T00:00:00,2021-09-06T00:00:00
"VFGoGW+NAgVbYeQapcIWSieLWklhRjNTuSXUgfY","vrVddYzqifvPTWgQSnVhRXmVlVCRhC+YFTNXNBT","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","tTpnVmTmxwkUjpWXGFlrrKrjTpOYC/jOpPltbRA","1-1:1.8.0",2022-08-25T00:00:00,2022-09-05T00:00:00
"oTOQdjoYKBbVLUEVqMrYWmwTpiiglaSewXJTKPQ","FUopQTdwZCbpGWLbgCUSqGU+JFWJtPxUZut/kZV","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","DRMDQZhKf/hFTOwQFw+TLnYHAgJhRW+ogfYEBDA","1-0:1.8.0",2022-08-25T00:00:00,2022-09-02T00:00:00
"TLjeVsjUaUSVZZRrDlsFzMt/RWYEEBSwZKQMHPZ","bRZlYxLbnnInOGSsQbemvyrYBOu/VUpBHjMbCDj","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","rwTyTKjBdvUTHygVGxbknCdxTRXYQbGpmgiXwds","1-1:1.8.0",2022-08-25T00:00:00,2022-09-06T00:00:00
"GWdGVLEVoTg/qyvbPkzmNWXjp/XYAdzyBBnTORU","tnRMebz+WvXSWpkmgRcP/ZRgBYydbXEoRb+gTfR","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","psjPXlfxWgE+QfIyYCAbQZIcsKeySImbJHK+ZVD","1-1:1.8.0",2022-08-25T00:00:00,2022-09-06T00:00:00
"QaevSaNuvkTqfZvyATskLETIKUZkHAFQDUiSWZX","CESZUwbLjLLuVQTWFYbZmGuzUaOaRHiLdcyZ/th","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","VSjFgANSAZcdcHZVWpHVESvzQRaVtugTWRNhDwh","1-0:1.8.0",2022-08-25T00:00:00,2022-09-05T00:00:00
"ji+PiWCBGRVuEZOlIIPZLuq/ezYvnUDeIVXZQtP","/mxYluM+nZznvx/b/cKkEULrjueTtUsXRYrXzBo","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","gtjC/gXeY/bKkOTXwJRZpelJRKDDveQ/wuRhroS","1-0:1.8.0",2022-08-25T00:00:00,2022-09-07T00:00:00
"gsXZXU/rCQzTevmZYohAEDtpKQHBSRTwIVhYojf","akoyef+uR/ecQQQjFrvrBHePefqKZRRdroTpuKf","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","PFDTuZVvnWdR+FHULRfETdtkuzopxQJpuXLudSL","1-0:1.8.2",2022-08-25T00:00:00,2022-09-08T00:00:00
"DNEeOOUSieTmS/JXz/QheILEJriVIIaXrpqgelg","uxHV+TQnj+Isx+ZATr+ibhr/VwXulTYXL/eZ/re","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","YWOhhYTYhWvVWZCwHZDhQuddRAtYRfscKwhQdSY","1-0:1.8.1",2022-08-25T00:00:00,2022-09-05T00:00:00
"QiymUvpRAzlYuNhSBXJSCQzMGnRqZWaIgaYwgh+","mYWTaOrBpGYCRGQVJIljuQRdZTProU+i+ufRVma","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","dZ/vpTpRRfGBZZUAOHhhQrQYhWQVpdMncvYDV/d","1-1:1.8.0",2022-08-25T00:00:00,2022-09-06T00:00:00
"RwiazIkTZMpVeGLzhZEVQeTHWAOqfvdCWSBNUJT","BSXVY+K/kJIlLARtpVJfEZQ/TBtNrpUHZsW/TnP","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","EjjidQzgIoVXPA+DDebWmnZUPpaGSsMEwpSyuDX","1-0:1.8.0",2022-08-25T00:00:00,2022-09-05T00:00:00
"W+sRmZTMBWDCKSZvAafGQESZtsWBVnYmeITVKHR","UMuTxgiiX+LyPUBFPYInFnNPQzTKHGYRrSvqTnd","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","aOGRdNQEWkjNbvHylhlIrrWVWRTrlAOfbpfz+bQ","1-1:1.8.0",2022-08-25T00:00:00,2022-09-05T00:00:00
"drQTL+LyFqitjNWoumHDldRsKZdoUhDLrkknSex","UYSAMKoVUcNZfwLAXFydAzOzgTMANWmiVYybyPF","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","uLZSkhrdrrzzkSIlrVhRukQOZEpQZAoGWhsCBeR","1-1:1.8.0",2022-08-25T00:00:00,2022-09-05T00:00:00
"bQiEJT/FUKwkdSVliZbUSqiCDvMVAjuZQZSWxcE","gZQmueqlwXESvXY+RHrROOYLCavwvlmCYLeqZek","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","LzMFtiJQoFVpjJtcYwhYzjfvRDVXdlMUCQpd+NR","1-1:1.8.0",2022-08-25T00:00:00,2022-09-12T00:00:00
"kBducEJgbIJWpcvGHfYSUVVFAHQ+YROWUsILTQP","jTZuPfYYVsWPLpxLcWFVQqznzDUX/ASRcCxFyQa","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","eWOn+OdLfZfuqgGiJiRhsvSXbvTDELuyNtAghhN","1-1:1.8.0",2022-08-25T00:00:00,2022-09-06T00:00:00
"mtScAToxFSwHDGGD/r+x+MopyGst+zfdQ/QcTEZ","iNlTdVhSKBCRQaoqyBxSdYByzzXOVoeQqVaZExi","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","aUzXLHWqNTXr+rXWwTzqRcrzVuKRoaNwTMZQhbp","1-0:1.8.0",2022-08-25T00:00:00,2022-09-05T00:00:00
"KRBUYRDatyZSzvXRTaWXPMXfvDPJRRZYwdeGvaY","SRXVoUqYKGTTuoyouQsSXZUkzWWsKKbxVJqRCmK","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","CsEfJMBHAddSp/gZifibcCEZHJGETneYHgTQHqQ","1-1:1.8.0",2022-08-25T00:00:00,2022-09-05T00:00:00
"VaUMBEoprrqTuLShVCVmThoSfTZmzOVJ/KduXzw","VcNFlSnrtgMoMSgTGEvLcJEKc+VRkjusecIRUUE","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","wRZuUokZlUXrHm/mWJTXiywsyvFDLTHx+VFQVh/","1-1:1.8.0",2022-08-25T00:00:00,2022-09-07T00:00:00
"dLqZpZBHkYFLVRdTOoWdZhpsKWSUSZYwGMphmRW","jvQTBvuOUSTLUmJIKBi/DNyUDLcotyEsqkbYVBS","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","vnLsXTPDXHZecjTlwLLEQGRlPMDTqXCVAwPURoB","1-0:1.8.0",2022-08-25T00:00:00,2022-09-02T00:00:00
"ilSooiYaKmZSBZYtSUQzuhxzeUEVAZCVcclxAFf","QZVBpRrsYKQgtEJSsEqleVOQiHAylHIUwJUrRTY","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","SCDVmzzdIWjYYTpViqTcQBRVPtyFzYpzOBQoykL","1-1:1.8.0",2022-08-25T00:00:00,2022-09-01T00:00:00
"BCsUmEFVtYJUnGnUYRtqgmeUYFAYrlWnZTWNcTv","VhXUNATLYkjvQTJQbYRVocjrJmZiBySTOUPWSqj","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","VVWVyYQOkNtsFxdBVdLeBUGFwEvUeazRXqNZQVE","1-0:1.8.0",2022-08-25T00:00:00,2022-09-05T00:00:00
"UWNeXuVK/efxPWhjUekcRYoAXBFzSUWJdfWlFJT","FjlIfKdlyLWTemjaLJfXaTCyTSRGZVUQfXBRYtO","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","JpKvYi/ySoGRyYTXlYrMbtvSlZUbWXHCaAXSQHa","1-0:1.8.0",2022-08-25T00:00:00,2022-09-12T00:00:00
"LXUgXcqZF/KUZYHnooYMyLmcNU/RXqaDQKnMtrQ","CMEyxgHgEDAiWNJbrTQ/g+meGpnvVbmdVRoXYUQ","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","ayYEZ+zWRpZScDWZlPRDwWTooytVucNwtWsMvwP","1-0:1.8.0",2022-08-25T00:00:00,2022-09-01T00:00:00
"gSXPcRyRFWsiTebiuvmXnYVyfBRKuLxQAAuSWlx","cJFPhnXMNsidmRgVgWMFOvSTmDiXOWNyuECmPDk","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","WcUAScYscgZWWUEmOdnjmyLpXQjh/dEpSQlVXTT","1-1:1.8.0",2022-08-25T00:00:00,2022-09-06T00:00:00
"UMhqoUYVLVZQZup+xVdZJcWvSVRBS+lceXZkKOJ","FUCUlZftXxVjtJCQwbXiCwKoakFjPWWj/J+bTVP","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","QUUgIKCtFdeynNCXDbzVpO/tIYRPYpBgWesumDJ","1-1:1.8.0",2022-08-25T00:00:00,2022-09-19T00:00:00
"/YxFxoVBphtYTtirRPOccEC/NUUGZFP/sKrCyaW","FcWcEKsuAIRyFWJRQXScpxTsWUZQY/eWynxXbdl","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","YnDzQIDf+oCnRWevbbRSImVGoTtBBuZVANnbZXK","1-0:1.8.1",2022-08-25T00:00:00,2022-09-06T00:00:00
"WBVOixUWWRoPhyCKDxTUXiEAvvSQHLqUXnOvQWE","QkTGWtuYyOXmFuSZsJIiwzcjUH+ieCgTRdYSIOm","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","aODPpjSTubxmsxEoALsZAWVCODGpnbCYqfCJuxR","1-1:1.8.0",2022-08-25T00:00:00,2022-09-06T00:00:00
"yOt+ueQSzKFdQvXTU/BfwkUY+TqptegUWQQBXPt","bUQEbtuQrAXKXOVsLBNnh+TgKrHnqxVWq+ldpvV","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","ZzUgRHlaqruCGXzzrAyHAWCwnn+ATYuwuXtrFmj","1-0:1.8.0",2022-08-25T00:00:00,2022-09-06T00:00:00
"pVQzDIXhHUzyGnRXxQEZYlhpPZQFbnmYtNjROSG","pQeUHfHjExHjavnpbWWvLJSYYwHN/QxSVsTUOTK","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","EYOdewXWh+TBgXPSo+SfYphnBGWL/akUKhQLRVB","1-1:1.8.0",2022-08-25T00:00:00,2022-09-06T00:00:00
"iBTPxuUCvbYIUJWYXhSoWmQFVWqGuwAREYzkLsf","mhSbyFLkzIaTMqWWkPRUWnij+DUNTRSWVvdiOBm","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","PJowQey+hUUYqWQISXFWVzpLXXQlSmQkiYZiLYD","1-1:1.8.0",2022-08-25T00:00:00,2022-09-02T00:00:00
"jMcVVzDyWYbShmiVfZA+FBmTOjUQXpgEHWRRpHQ","bdOdQnOgiWSVIYnVo/AQZVXmJRCtXSzgUEOzWXs","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","hUEhifPfRdFWpIEIMtnrWUBNjORWKoDcROuYd+H","1-1:1.8.0",2022-08-25T00:00:00,2022-09-23T00:00:00
"qULKgXIDTBvlcXAVFWgTPNYVMJ/IeQWaLqXTUfj","AZJdrwxwZvTpVmuoAM+gdinQaXybZJUqaxxcwOF","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","efzXfSUvQaHAEZmRRppLXiMqKSxmha/AaJ+aBAY","1-1:1.8.0",2022-08-25T00:00:00,2022-09-02T00:00:00
"WMndOtSWhFFYsqkQOWY+tUvRVXJXFaRFUFQnaYm","VnqeMNUZSPQaqwTiuHccVUQaWJhofMBnjDbTOOk","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","iWXRp+OQzbnbXmrOpzYpApRPX+XWPUoewh+T+pS","1-0:1.8.2",2022-08-25T00:00:00,2022-09-19T00:00:00
"h+lZFSclFLP+pDQFkwxkTSdaljQi+rcSWOtBHBo","EfOebrClPWZVVrXdJSfMprWYAiUyXVYQY/rDeWL","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","FxYPEDlWoGUdCRbRPtJyzXHiMQPAinjYTIjYWiC","1-1:1.8.0",2022-08-25T00:00:00,2022-09-06T00:00:00
"sTG/JSxhzQLWZfXpTHJqGTiveYZoKZiJSHTflCK","mfRzpaCIZQlRAzvPGB/ERdRHvMawHnI//VRJIJb","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","DaEhDJmvKKHBVXgZrFUGYZUWJdUfsfHjNvQrpsV","1-0:1.8.0",2022-08-25T00:00:00,2022-09-05T00:00:00
"QovXMNffjcDdAmkWJfqARAdPtTrXtpS+wKiXLI+","LREQNJUHQjiDWhT+cUjheSJxdmzmdRJYQOYhLhY","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","zXZPoyvwDEkFOAGtQuCnXrS/VTegBn+TxIUuWLK","1-1:1.8.0",2022-08-25T00:00:00,2022-09-06T00:00:00
"MGRpQLVGuDYYRYvhMtIcAiUmvmVFNBAZTeyVbTd","TLdDucXXRVwBVtDpSrD/nkLUvWDaWlPAXWZXUoJ","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","dOtJWYFrSECUFkkbYXrTSRQQsV/VIxYIogZYrdd","1-1:1.8.2",2022-08-25T00:00:00,2022-09-06T00:00:00
"wJPUIcZXLbTWCUvJqNjoZVsLmekVESQ/GmFEdYX","SdfAFRTUfRqG+SrISWiRbUZzcgtZjCvkUsmApar","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","YvYYotowyZZrWUSUZYgStQHDoiBawCZJYjXEeyR","1-1:1.8.0",2022-08-25T00:00:00,2022-09-05T00:00:00
"qUSXDGbTXkUuVUZFSDTXuuYZpVQWseCtPtijUOD","XWMUleF/MZqXNESlnSrRHTQJUVTvRyoaxloZiUm","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","ZRIVfRGqJsPvgUYmLTsVAjHDrTeJZSZqMQpjQzT","1-1:1.8.0",2022-08-25T00:00:00,2022-09-05T00:00:00
"RhrmYyPuShyXEYuSVtpRqTsWpEhWqWf+TKVLtVS","OUddbnRhWm+WKOZMHvQDmfLXttRDDRaTkVrtFMi","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","lhfemqSOKXGtisSuQMyDTHJUbuSsRV/VMXuLpcJ","1-1:1.8.0",2022-08-25T00:00:00,2022-09-19T00:00:00
"hRQCRu/hbXOavthQloKhsoWKXKOEjXsNzqnKaSB","wG/SNUUZTOprJWDCWuQXVdGVqKkiJohRQTGBPgT","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","gXXljQbCuXgiyhkEXYsbCRVzwcMgTBTkSUTJyzS","1-1:1.8.0",2022-08-25T00:00:00,2022-09-06T00:00:00
"JGzoJvYMIHLIFsDcROBjPJCdOl+tehiZDVuDjAl","'+HrxXOCbxTaVWfNNCSRXQiMaBoRSywAxWXfRSZa","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","ogrUWvvNUFJxxVSvyfePJcJXtOmehldvtoORqoi","1-1:1.8.0",2022-08-25T00:00:00,2022-09-05T00:00:00
"polOpPOtrVAJTSVHGjJdKEYQ/PxHXVYyOpIqGur","/SCYOBZCnkTuHQzrUJhRvasZoRrGYW+GUOMZqRQ","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","rfQZUiVtUZYERBIwZUdcwNRNVnWXJSixqNSnEhv","1-1:1.8.0",2022-08-25T00:00:00,2022-09-06T00:00:00
"cUpZVTRaHjQzzXrmHvFpupqRvQiruNWraigXZwU","XfXZTaaaYbShtrGSNNTEIudSAVaGYXJlGVaYgad","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","/WGumTVqGQasXmZlFEjnghvkWxqbAUnXUhUgPXJ","1-1:1.8.0",2022-08-25T00:00:00,2022-09-19T00:00:00
"eYHIAChwTnjwTHDuilUvxUAYzj/PWRBUZcHSoFV","UTioMvptEWJ/RLupcGUxtwGTUDdRWBMijKYMwUF","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","SIQtGGmOSjScZsr+oNQXsQsKIUIidJJXoGBZWXR","1-1:1.8.2",2022-08-25T00:00:00,2022-09-05T00:00:00
"SVUtPNvCo/orBghXKgkJGx/QQGmFOpZwcKMKGKC","gsIpxkRVDkvFnZrSYbZYovRHRKSXVTkrhAKgSZy","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","aOZaAYdeJDRYKBDGWTImsEim/mTdadtTiQeSAsP","1-1:1.8.0",2022-08-25T00:00:00,2022-09-06T00:00:00
"AXoiQdYQwkQRcayUoAoAfPXRTmroZcCoeupERyZ","EzYIVS/TJgOfGgGlSTkikZZAksLaUXtWrQAVduF","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","'+PsLWqkuPKZCsXREToIePwmot+XCTYa/QWrpC+Q","1-1:1.8.0",2022-08-25T00:00:00,2022-09-05T00:00:00
"GeLQuYW+lhDzRXcyYUdBcVFQvHkYgEnZDVWBXtZ","uyrESRMuQfiwJVsAlCbAEp/XGAMlATXCduZgnQb","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","aZWMmRuZFKkwLEtGbjuuPNYXqofyQNQYsUtZgLy","1-1:1.8.0",2022-08-25T00:00:00,2022-09-19T00:00:00
"RviHejhleiQXIxQSF+CRHZTVGQCmNipWr+bygUs","lfSRVFKUhXwrYxCeuzVDTMNvqHdCSltqgrSeduW","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","'+ZX+RUMNSCeVbhTZFVSDtZvgbfDMpqKUWKGnhUv","1-1:1.8.0",2022-08-25T00:00:00,2022-09-19T00:00:00
"jzQeZUcYuMibJSWkUqrsrYfWipuTxgRWBYVzobW","ZpuAzXlZbGbjGAzetbTQaVMVkJfpYSuDKHVYSgE","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","XhpdUmXjSVKxaxx+ghXoBqaFWfnoxYhpjQlqSGt","1-1:1.8.0",2022-08-25T00:00:00,2022-09-06T00:00:00
"qIqkwYvMLTHZSKbUGHmGJJ+sYpiUBS/YscyfGIn","GVXZXAIhEhXBZuYiYKXRRkveTladjrtFdMVtYZG","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","ESbVCU+LNMUpscAIOdQQgBmDwJXUQdsmuoYYsQK","1-0:1.8.0",2022-08-25T00:00:00,2022-09-05T00:00:00
"LB+oUCwLAVppMggeSqsrJjUDUlWbM/YWCsCbpDF","IFiXToUckpAWfzdOVgkgamFMAUozultGrrXFYFt","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","uphMPHAgCYNOGFJXFxri+XJXzxTPRjrFJrhltOF","1-0:1.8.0",2022-08-25T00:00:00,2022-09-09T00:00:00
"gYWHWZHqUOMTt/HX+mFPLuTZHRcYIcRTCAjTdQV","fzLHvmsB+rWARePwwVj/gnDLYtvZkwnPGRYWWUT","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","EUYFiYiF/fkoWmDUAuUpqVu/ZsQhTmYpQsQZ+Gx","1-1:1.8.1",2022-08-25T00:00:00,2022-10-05T00:00:00
"dSUqqCgqkpPxbojcBqGzOYHXq/RTpUUX/RVYZFY","ZsHKtwMxfTwWOeRyYeWoIDBtDYaNXkBuORorksy","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","BBZLTqYYCRkwCZlswWUcLaCr+TZJTxXYEFjmlkS","1-1:1.8.0",2022-08-25T00:00:00,2022-09-05T00:00:00
"fywBZckOSKRvWbMGUfWwCOvTODZYLSBLFBR/cZ/","USUBUonYZakYVcBLZTjUTgrWxVSRTQUmTQbZTvc","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","mXQaLZWaYWRJkVecIyjTRLCIR/zeilCmbrIYI+q","1-0:1.8.0",2022-08-25T00:00:00,2022-09-05T00:00:00
"hhBt/SIZjJaYn/BoYhcTnLpSaTNTQVbNSmHJgnE","qRLuRiMBYrpWscZUfkqvUTjQkjmYtwPyvnAQWPD","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","yvBFTsx/MjHqXOkkSXGwvOVXYxvUYyiWsV+IqUb","1-1:1.8.0",2022-08-25T00:00:00,2022-09-05T00:00:00
