Meter Reading (MR) Doc. No.,EQUNR,Geplante Ableseart,MR type,MR TYPE TEXT,MR category,ISTABLART_TXT,LOGIKZW,KENNZIFF,Record created on,Object changed on
"cQZQRxcjRZupSjsfAfIPuAnYyPNrTksucYtMlXM","mh++VOsvhbTDoXRcWqaSETeRMgaGUUVJaeZTfV+","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","MemUZpDDvHAiYLOOkMolsnPQwJOnTWWpbrYc/Bk","1-1:1.8.1",2020-09-16T00:00:00,2020-10-05T00:00:00
"wUVgaqoSUhmujZwcPLfUDdKxyUfr/DaWfsLYyYb","lYjeMeW/pHiuQOMW/BNxjpXATDKN+ZWathbGXRd","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","PUTLBFfUGflxbMXLoZLQXDhEqmG/YXTWRO/mhwD","1-1:1.8.1",2020-09-16T00:00:00,2020-10-07T00:00:00
"YqMXKduqokTiovKQBJSkysoMBzHueoqV+YtHcrg","Vwe+iZT+EjF+QAQWeFYPUXuQcOVPKRZWPMTqmDU","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","QHlTIlaQLdVBSyqVSKsiOalDVMEYhIqZWXfeXPB","1-1:1.8.0",2020-09-16T00:00:00,2020-10-05T00:00:00
"wyQAUQXGQYBQtPOlXbT+OSmPhnjdUziLVeCCCZc","eqaKUUAXJ+cRrHbrTRXYTbIKwWMTHAOuYSDlTiU","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","HduAw/woUuSkNhHWhiLpCLWQFtjzxpD+GgkkdLY","1-1:1.8.0",2020-09-16T00:00:00,2020-10-19T00:00:00
"MmyVnNXBBOqcgXwldmdXARkYtTKfwWHi+/NUo+T","jTlxmXoPgDcwoGnUJyVVSiRbKw/sqGhOPzZXvbH","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","FTQTwSMqhTZWwQsjVb+SKAWSZTYGQESSLKYgmQI","1-1:1.8.1",2020-09-16T00:00:00,2020-10-06T00:00:00
"GdJUQaurCERMF/EOSxmzcxDM+aZ+TmQNDIVuZyS","'+PaDAlTlYWMWyVbYXwBHzVZHSfJReZfRRgXdlkX","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","trkVqeEbVWBIJHwINDHYgRLfieXPYAcxHwSWACW","1-0:1.8.2",2020-09-16T00:00:00,2020-10-15T00:00:00
"WBYzBnVePMpifSVnSUVtf+OnPLSBUVcMoioLSlU","UlwRiNxYVlpPHWfUhRtSLAhuVwccXPTAnHEEYFf","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","UZsaOHGgjNDuW+WCUZyTPdnzhsMRZyaWRmFgIml","1-1:1.8.2",2020-09-16T00:00:00,2021-10-11T00:00:00
"pCPNhxMKEgWxqDEINtTRAxYopxSuDua/pcCVyxq","AjmumFnljEgtjKQMJqAYStK+GR/IPuivnSCbjOn","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","EYrYiZuLuYVTJKxNTZUfiERZIkisUWzbVJWhJJB","1-1:1.8.2",2020-09-16T00:00:00,2020-10-19T00:00:00
"DOUtKaBJiDTIuYBAUGifVblbWbsVaLzRiqLuAmq","TUtNBvF+CzXdrVTCLwWajRZoXazTSQZDgQfVPWQ","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","ZCCIXZOTVFrgETZiHgOqqXgLzhYDjXBfJYRLNaO","1-1:1.8.0",2020-09-16T00:00:00,2020-09-18T00:00:00
"gNfYeyeTWZaSGNwwemQYRLVSTjxQMxWHSeSx+sW","wdSAGFKTVKKFvrrLqxvZR/vbzhmrMwWwfpvvnUf","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","DetqVbRvzxSjUiRHSUSgTLMlOuoYFgqhhfdYJyH","1-1:1.8.2",2020-09-16T00:00:00,2020-10-05T00:00:00
"UsSTTJfdmUIUOLAZeRjYlpKvHFXlNTYznOSTaSR","WQdmhWS+yuhKrvXVNZDQJCQcvSHvU/pSzguxuNb","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","Av/gmYXMQeORgYOnyCdXEsUvAWHNwMExZhRJrCG","1-1:1.8.1",2020-09-16T00:00:00,2020-10-06T00:00:00
"dMlsdPPiQSUQAKnVVVTeQZSCjrXSWZSZTUrvbqR","sx/FdVciGwVATiCgQ/rrSNJVoPcSKQVAaZnmpMr","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","AiSztFUemhSBBSbzkZ/WShHVrZ/VWdYKvAkRA/j","1-0:1.8.2",2020-09-16T00:00:00,2020-10-19T00:00:00
"FVZVZjlmaicXdRSkZoiTXJJaWSSGMVRYUUcsbhA","blMTMnc+SrcQkRKo/FsRjgiOcpqZGElUaWsRZVG","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","MUQoPnlBBbGS/RZOuRpwNwGqRTkRvehxWTYXidY","1-1:1.8.1",2020-09-16T00:00:00,2023-01-23T00:00:00
"tM/TXiHWsXkPbXNWBUWcXwRSSqEQvNTYCLxdsUD","VXUTIJWAVCMAEXKWTes/kkXtYGQRHnbObQteWdQ","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","nXUYmVNgwOQuQzYlZtXGUZsJLWwxPtryVAupYCZ","1-1:1.8.1",2020-09-16T00:00:00,2020-10-06T00:00:00
"oMgAMlSjZNSiLe+xptNbZchHBVMouMUQJHISXgU","yRheuBJVkGurHPlRxHFVjafYSYwFtUvVYmS/ovf","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","XKO/OSvYSlTWVDAf/THyPYXVU/TOwmBzGHSZOuM","1-0:1.8.2",2020-09-16T00:00:00,2022-12-16T00:00:00
"IRzZyBdVUKbSmRGbAZWSWxqSkgCBIfXLVaQaQUF","jwDDvyxugQEZGYROZ/avVNDYTvWQkAvWWIRXSDP","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","u+xpiVFWRTSwFlljFRwVhMdDtVxjoIUYnehaRnV","1-1:1.8.1",2020-09-16T00:00:00,2020-10-05T00:00:00
"'+kQZGqHUWQUSYUWjNmTrTaKRHwfqlFohZZ/SPmv","GM+SUiIgCPsmEGVs+ABWNrSobrVNYUqKiKGHSyT","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","HmaogjapXDKYU/WLHSQWPUZWqeySWATgRRhuyJW","1-1:1.8.0",2020-09-16T00:00:00,2020-10-02T00:00:00
"UfKWGYlDzNwXgzggmMZGQx+rPOOBaoQhpYXECDJ","bQFzDhQRZYPiFIcUeuWoAlBNofdFFdFJlBXkZYR","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","EKwSXxFqbTQ+QEO/ctyWGhZqRKeyTD//kdzHcvN","1-1:1.8.0",2020-09-16T00:00:00,2020-10-02T00:00:00
"KRSNaJkRWFS+dpSjQGaXJqTBcvKRjyUmSCCT/zM","DYGQKYQvQUPTQXbYKBXRCGSywYXaFaFvLBDRQfO","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","YDFVvOpKSysCR+uQXzRYqBNhkCWqEQzFXJRebaU","1-1:1.8.0",2021-09-15T00:00:00,2021-10-20T00:00:00
"tykUPvKhMNSFKntS/bwFVfMX+P/ZuOezNLXwyrT","eqve/YRDuMtmvdqoUlHnrYhUSYGWXRyZJKdbfRS","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","RtQ/aRHtReQCUlATpUuDmAYXyUkHrWVlvBNbF+T","1-1:1.8.0",2021-09-15T00:00:00,2021-10-06T00:00:00
"sqxXdZYkdKfelHtvnXFzOvJUWURrVufwswcUZUu","JQZDgX+BQqDgTSBPEeNIdfSesJmDVXVLVX/SbXP","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","fLUpqLKZghOQIYfwUwEWPPpZVfoYZCyRuU+YvRS","1-0:1.8.2",2021-09-15T00:00:00,2021-11-22T00:00:00
"EhfBvcpBedaW/vDTfXzasQEYRpKYO+eJXYrclfR","DVdURJYbuRRnaAQUZhnSRXwaZAcdcuZYgRjEbZT","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","AUckZY+bYtvBSO+cAupYLvQthCYnFxHMhmvOzTN","1-0:1.8.1",2021-09-15T00:00:00,2021-10-11T00:00:00
"HFirRFzwUdXNwzuXKDWRFhK/lUQWQAVsLTyLSFU","STgjTQlYUyp+GStSTVyXxDPl/ALard/fhTrSYzW","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","ZiyMMzOwtSGKrDNRDcZYxUjDBhEcNGXgoTGltVY","1-1:1.8.0",2021-09-15T00:00:00,2021-10-11T00:00:00
"cIVeQAViNDQqUTJCUXayVteRHdiOB+RJZgwtbNX","SLwZzXK/yXYsjaScdfZRPVgZZFI/sRgQhvMxodi","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","NzcDYqQOVsMTpQUyRupLshtkrQ+rSeSfvNDYZUX","1-1:1.8.0",2021-09-15T00:00:00,2022-09-29T00:00:00
"AcrQvZWL+IWOySyzqK/wJuJUUuOmrsLZspYCLrV","AjmumFnljEgtjKQMJqAYStK+GR/IPuivnSCbjOn","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","EYrYiZuLuYVTJKxNTZUfiERZIkisUWzbVJWhJJB","1-1:1.8.2",2021-09-15T00:00:00,2021-10-22T00:00:00
"nYerUCvl+rOTaOCsTpIXFRMhQdHuWZZMUpVoyIW","lPkX+zUAPuRZqVxkzJRVGYtsOTVmzxRvOGnNvfU","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","iuCfMjqvjjEhpLsCrULyRtSHmqpegLVViHZWlSk","1-1:1.8.0",2021-09-15T00:00:00,2022-04-21T00:00:00
"KuLnULxfkQnTHXbVVlCdDNMFxB/Tce/InWtZXuU","ydVQEYYoOvQWTpfOcgRNSuYamXhVoUcUcaNCTzU","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","TkksSbUDotsGABqVQpXJAQWwonvVsRqHMZWS/TY","1-1:1.8.1",2021-09-15T00:00:00,2021-10-11T00:00:00
"XKmwXnQTJ+tlTQjZApaQXIbWHaS/EFxdYIvtFSV","mh++VOsvhbTDoXRcWqaSETeRMgaGUUVJaeZTfV+","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","LAbRiYjMMAsUUWcUPVbTHGKyVXKUSHzVpXYXtMT","1-1:1.8.2",2021-09-15T00:00:00,2021-10-08T00:00:00
"UHfIspTEBrURpcgOagWRxwzXIwAXQWZjMKN/pff","TVYfAGkfYeTRjwYxPPNVQoUbBewShvLTXIqLlOp","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","HSBqRQnfrOOfSaQUPTnXcQOGnuowEFcLIVBitxK","1-1:1.8.0",2021-09-15T00:00:00,2021-10-05T00:00:00
"ZRiLHqRYLgk+nsAxnleFbsVXRZYooVohAUGZAUV","fjUYFzZWAHLnrrMKgRVWcFPUf/TLhPuXMOTmZks","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","WntCSrOOJQg/fCcGKYQhiVwq+sEZMDUKXVWZRXJ","1-1:1.8.0",2021-09-15T00:00:00,2021-10-06T00:00:00
"aqlUYYCCzhTjUoNVKOW/ExhsJVblYTcBYmzqWCi","JgfSVkqUEUokR+zvyKMynQKRpETIbXC/VjEUMac","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","C/BBwlAOEIvQUfmZChUbaGembSmhTXrfYFlSJYc","1-1:1.8.0",2021-09-15T00:00:00,2021-10-05T00:00:00
"MUSAQTjnZVufJXgTOSJmsZ/SfxRQIascufdwcYm","cM/FjZZXRBGKZiCzhqXxknCPLV+rdqjVJqeUpcg","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","LVWqoSlj+/OqgStg/ZzXHRLpAnfo+MQctCTQiZx","1-1:1.8.1",2021-09-15T00:00:00,2022-09-29T00:00:00
"HYmzzenZvFiJXWNUmDrTEYsVAQUyousCQOlERNb","ZQsnjlUbZ+ZXZxtXCZAsynVbyQbjUVFWhleTKZH","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","HWKeyMomorFRsADHQIvcZgOiXzYYuuMMqHNPfSU","1-1:1.8.1",2021-09-15T00:00:00,2022-09-29T00:00:00
"cWnnfcGUGuqYPvWuLWZsIaqSjkLSSTbwEqzVZoQ","pIliZcYEXgyFXvaKwoSKgszkTUuaSYTIkrqXEUJ","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","wIDVfjSqbORQvVK/umRZcZY/mQGELRCYKTVVgST","1-0:1.8.1",2021-09-15T00:00:00,2023-01-16T00:00:00
"VWDAWSx/lAybahtgBtWUjtNBOgTIwIUNhfSPgOW","cacAGFyVvIjyXmSTEnclIoEBCWrwYDooZrfVQzO","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","SUakLKGNKlqkVfV+spJQRLgAAxANjWZgwSPTPTu","1-1:1.8.0",2021-09-15T00:00:00,2021-09-29T00:00:00
"iEW/kcQcJquUIXVEYyWQsEVtpNdYHbPIPvOVbSL","IKORKaXcHiNzvUAgSKzuZyByUqgSwEKteazZwVt","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","VUWWqUvMR+SyNWQLycbSbFAXDDXbGIkZYtdq+S+","1-1:1.8.0",2021-09-15T00:00:00,2021-10-05T00:00:00
"ZZXrqRorHNpImMZxhifHqmjkP+lKuFfQReSZUzY","CeUXuDMSfQyZDmCklYUyLMVCmSwlcKjsVmPSVUF","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","dQZkHV+TrRQqjeCQWPTXhNgUpfJZOpRmmFirZRB","1-1:1.8.0",2021-09-15T00:00:00,2021-10-07T00:00:00
"nzJknt/KhZzdYmlv/D+PiJOBoSDgDPB+OZmP+pG","VRXZeQeCmNeaVUcxDSEbTUaPQPmUGImuEfBWCsQ","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","wDRZagAAmnOhte/uFQ/TToCqQfovMe+LXlVJwQR","1-1:1.8.0",2021-09-15T00:00:00,2021-10-08T00:00:00
"cFHxjlYezUJXbpIHTdxvYTEVbZStXA/ZIwPiYgq","tYmVXVRXq/PfauBmYAbfouIQUjyxwnDZLzpQKpV","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","ABYWphRQKYAYpQsLOmuVhQeYqSPPsSSROLXZZpk","1-1:1.8.0",2021-09-15T00:00:00,2021-10-06T00:00:00
"xVv/pHUaVTPSNSu+UsPDowmKbzEfbyRZjUytDq/","WyQVurANTjZxbMpxsSFE+UZvUkdZsfnOIVTWMmf","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","PhFPfVSnSCZVwuvRWfWR+/YneEXyCLVkQXztAZq","1-0:1.8.0",2021-09-15T00:00:00,2022-02-18T00:00:00
"KakfsTMCVJTSFpCTSLPlHdvmUGIqxUupkRgpvQo","wdSAGFKTVKKFvrrLqxvZR/vbzhmrMwWwfpvvnUf","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","XXBJ/DXkVKSxUIzYUUpdXWwUUqoXVQtVaqZZOVJ","1-1:1.8.1",2021-09-15T00:00:00,2021-10-05T00:00:00
"WDzJqR/CkuZhLihrpLptBarTAYWMGahX/mlBWjI","eQTinZQCNTSGSFXMbInP/xhmsrRcUojugtJQOl/","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","gCUHvWSlfAAOqbcVEmdhJH/kizizIQKXoZcw+kt","1-0:1.8.2",2021-09-15T00:00:00,2022-12-07T00:00:00
"QJnUiSKouFRWRnhMTUzUSuGTgUQPGLD+OJDQFBH","agOHubeNRTEW+BvbsWKfIYGkQSKpYTrxeVMuUOU","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","nsZXELREMvTPRVtQRaMPRoiOXwtkWzOpYhLvXKZ","1-1:1.8.2",2021-09-15T00:00:00,2021-11-03T00:00:00
"XKPmyLzxibwwhhJuWQfUKVabUaUSXKknHGVHCPQ","STXpWGotEReXStGZQRkUzjfzNXqhSvfOTcleAQt","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","YQT/SySEYpjBhSvQdTONYyCIxhkLTTuzSnVXPTV","1-0:1.8.0",2021-09-15T00:00:00,2021-10-06T00:00:00
"HTXLkFVQvVxOkEYAEOERUpvwktBDEQEIIIUbWZt","EDUBoAKOLeKRIEdP/vZeAgJjMFDKy+VPVWBQk+Q","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","'+HQNDXrbdXNmeZyxWdmQnCHoYVrkepOuQqiw/Ei","1-1:1.8.2",2021-09-15T00:00:00,2021-10-05T00:00:00
"pDoHqQeRYLcXWTEVQUVnXci/OyhQnRNkcUHGhxH","JippalRxv+jNqTIutROcBwSDYUcmsTNTsDuWRkF","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","tGNzSaOVGVaZtSQWUQtvoXRWbTQAbQectCWLz/X","1-0:1.8.2",2021-09-15T00:00:00,2021-10-08T00:00:00
"'+qmToqwpob+ArffRBPcYuPsIhQBPliQUXGBtKpQ","s+lFMNcukhtWLXRQJgQetHCPUwSDPMdS/qMhXiv","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","xVSsvWXVQXargwSTGtqcZ/laENqiiNoIEC/qSX+","1-0:1.8.0",2021-09-15T00:00:00,2021-11-04T00:00:00
"VlYVLoNQqdwAWTbQTpUTmYfbCUS+RMhcQRoIQqX","lRbmbiZwVYRcedsJLDcStRGBWaRfVUXglhKjSoj","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","JvRFNwVlZZYEVdTxWaWMUvGhOrOFnp+UVfxbQyQ","1-0:1.8.2",2021-09-15T00:00:00,2022-12-07T00:00:00
"XgFNJgXkBAAVJihCIQVIRGhjVqBYUlE+SbmMZVQ","maVx+kVCvPlMRlqopY+YBXxOWkRzreCuoLolPWl","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","FIfwCPhWrnFJtZHxJuRSmUwmNpPsx+jXYiHLzUj","1-1:1.8.0",2021-09-15T00:00:00,2021-10-05T00:00:00
"EYDdKqbstDTQVQFLuxzYMzMQjTdXTldWOFIExwD","gEDeAQTmVSpYvaLacUEUvnUbSZqBrEXBOVHNlSH","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","mtQwGOlORWPS/GQalbawnrBisdXVZWxZPSKmmWh","1-1:1.8.0",2021-09-15T00:00:00,2021-10-05T00:00:00
"RTHShZyHXwhj/QgvhMoCusJ+rCYbEOMEkuzQ+ZA","ZdYQsRXWeySYiwRByQJSjFFoJq+FHrSUlxyR/lw","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","xoWUZTZXTMkGXNsP+ZTMGRQKyTXhJQSrUViWGZq","1-1:1.8.0",2021-09-15T00:00:00,2021-10-06T00:00:00
"JgbLskq/lLFXeKGxPdWrmheUPfATjRWYspqXnQR","NGWnCoeL/+R+P+k/WQyHFCtozQKsgveSWUwqWMY","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","g++TaRsZcZYrdVLHQbpLsVRvNLZrcoWHTiHrReH","1-1:1.8.0",2021-09-15T00:00:00,2021-09-29T00:00:00
"JoxXEIIGPW+qyTTVtQVTQCVjlWSfsYIDUXzQdHG","OKM+FnHwlSSXERWZJWVXyRSBzeRBDUgQJueMtUs","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","KVySQQbVSNYVVJwtSBu/VsHzYlfUejHRDALlKLR","1-1:1.8.0",2021-09-15T00:00:00,2021-10-05T00:00:00
"wUzfNZvPYGYPCRgtKhfRLJwTCZTRQHQwJQrRnKN","JhTBkgjiZPsjP+BkOwYqNHB+ZCrZMbLhmQkdWxZ","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","QMpAHg/UVyrMr+iRVCOaUfuNUOJgXIRcVOVTiXI","1-0:1.8.2",2021-09-15T00:00:00,2022-12-21T00:00:00
"jxVwPHNIROsuYlgIQfhTTDJXOngeWZASInCzhHP","ZlLMIZcjJxWKqunpgehkneFhWCGqdWvuCAJSpJQ","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","YhV+ySiTlfEVOzeK+VGEdmQY+GkDhRMt/PzUURQ","1-1:1.8.0",2021-09-15T00:00:00,2022-09-01T00:00:00
"XotEGCHmsUfemKTzvtehyZoTvXHaUgDlWaQWFnh","rldQVVsUTWzkyUYXlixmBWxRnAFqgEBVCnPEaxr","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","YkDq/DJMqDdDujXqlJdVVRYbSSCZbvBRiZLLbSa","1-1:1.8.0",2021-09-15T00:00:00,2021-10-06T00:00:00
"YuhUOUaQXHsAYhHzoKUquVkcCQiTfiTXQhNUuBB","WzSQFGXZoiHg/ZnZhTrpZmFLRP/XBCRG/CgZeSW","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","mvGYqbNiPEisZCWgQxurzXz+wUwRH/+SQIXrvTU","1-1:1.8.0",2021-09-15T00:00:00,2021-10-05T00:00:00
"vp+zXISaZZUnxQKBNQATAdrRuJRytV/FWUg/T/N","ASDbhxsoAbACStMNWDmNvQeArRIWHvlaj+sSYYG","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","WBtBwYSCXqXdeUgBiXWVmWnGDTgquXbovpYZTeL","1-1:1.8.0",2021-09-15T00:00:00,2021-10-07T00:00:00
"VjYHQLlTmQhPGPdRmZDcWLgeCEQALQubnPWtFn/","YdbOZz/KRXYsYxFctEBQVyGUMmRRUxiRCyfxVc+","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","wRvwAoFI/CSPNzbZVnSyQEmVoWVCwnfoyXiXrNU","1-1:1.8.0",2021-09-15T00:00:00,2021-10-06T00:00:00
"LAlXVCDPTghJv/MCPXPcrMGkSuMSWSTY/WPwSQY","LTQdWhKQWsJYtKriSatWULeLfWsRbronpAdYvZm","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","YeWTFlCqrQXIjgdnBZGHEpxbnYdCOqCXYURHtj/","1-0:1.8.1",2021-09-15T00:00:00,2021-10-11T00:00:00
"MsYWeOIyGLNEESYVZujZNGMULgCjtZNHDHqfCpv","mQYBQDhecLGdzlaVVCwjlSgBdvpbD/lFnuU/eHR","01","04","Ablesung abgeleitet","04","Ablesung abgeleitet - SAP","RavFfpiFP/yxZpimSr+VyXW+oMXNXMcUliPBYwN","1-0:1.8.0",2021-09-15T00:00:00,2022-01-12T00:00:00
"XkGrdOWnjjEHYYZSQYdyHJODmGXrMopphPrtXcw","obTFSQRRJTmfKKVmfPsdQTTKxseKszTlfKoTdPq","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","aNCREAXINYGVzGUZzqTUkraKMHiQMrXCbunbUqr","1-1:1.8.0",2021-09-15T00:00:00,2021-10-06T00:00:00
"QApBBRhqfPAhsUSQhATJyZjV+CxRTeJEpyjPoLY","gZhlQjWCKBDkXhYouyOvbotJYFRTbRRUwFefvET","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","N/dZqWolgYjDgQvnVlKTJjzZkCMfiKEYqdDGmjY","1-0:1.8.1",2021-09-15T00:00:00,2022-07-06T00:00:00
"bgSs+JU/NhekIcSBAHbYamTVQwRXnxBUYTZGpxU","gZhlQjWCKBDkXhYouyOvbotJYFRTbRRUwFefvET","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","pbwjkGu+MwpoY/eRnwrQTdbVRDfpKfUAERVjnYO","1-0:1.8.2",2021-09-15T00:00:00,2022-07-06T00:00:00
