Meter Reading (MR) Doc. No.,EQUNR,Geplante Ableseart,MR type,MR TYPE TEXT,MR category,ISTABLART_TXT,LOGIKZW,KENNZIFF,Record created on,Object changed on
"DuniyHPqMMdsSwyPVuUREMWeXHipbpGQTMuZ+MX","ihRdUtwaNoXZvxYRPOULwNUIQCnJHhDdxJTNYaa","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","/LQwxkeIXPAfmBZh/TSBPwyVdJZbmtQhzaPwTbS","1-1:1.8.1",2021-09-09T00:00:00,2021-09-29T00:00:00
"IhEmBsNsKmusUWmPTQGlfcsMTyYkS+P/TyYVQbs","mHwZVu/fNTyuuihYBFEMnZskUEM/VyjDzq+cIXA","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","rAhv+spP+VT+EfXbURhPTQhUrYgBomhKffYDgb+","1-1:1.8.0",2021-09-09T00:00:00,2021-09-28T00:00:00
"YXTHQWzrSeCRyUCHViyNyUAdMHmUvDrcVwZewPz","JjBWAWdYUVruvpeDvmfRLRSKbQlnSpcQVGYKkuf","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","viMjzUCMSwBIZDhSIQiUboUndxTrFZnSjIxUfYg","1-1:1.8.0",2021-09-09T00:00:00,2021-10-04T00:00:00
"wiDYNbWrXJNxugatUxUaQoFZRuSxMTTSeJUsZQf","hVpNLRZAyyvBUNGsxzzqwjDh+xoKkBDWzoqhPXY","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","TRpwwBRpBP+gQggXIfcdGwfGvgxVunsgFrBbGav","1-1:1.8.0",2022-09-09T00:00:00,2022-09-21T00:00:00
"OwUsQXovOYjqfmHkSpYfbyEoDM/tEyqk/dbsTom","kfXM/fe/EZtCCNFvVCArLkSSw/DiCNRNUbMzdUq","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","PAwaY+MBqVYJSrOUIoSMGdFREuV+QYATm+bZJGJ","1-1:1.8.0",2022-09-09T00:00:00,2022-09-21T00:00:00
"SOuJgubCZpTVO+plqgjXKMGoCJngwIaXOyGmUsY","clhOYzdufUnWZRLJcBRZ+F+PBPChAKNSTYwJJVR","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","eifTOSexUjtHDvUSlQUULTbpFYhUYHsz+lTUQTe","1-0:1.8.0",2022-09-09T00:00:00,2022-09-21T00:00:00
"CUGEgxqceZTVZCe/rnwZQVZ+sWqJeIQYNKnk+pE","JxbWI/FtiAMddYMNdVtwVH/tXKyjTzWmhurV+JF","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","YJuUHPhwSCuGShXJvqUzQfkRNmMGSbOkQRSWoRe","1-0:1.8.0",2022-09-09T00:00:00,2022-09-21T00:00:00
"gwb+xQgMZxlEgOsbwgzuMTzJAQqNjFdXtDUWXf/","IrTIUMnFFXseUBLrFevgkoTVOvSDQSWFwBKmYSt","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","Rckt+HzwdBn+DPFyrKzcGxNCWvbiH/vFoYqtCqR","1-1:1.8.0",2022-09-09T00:00:00,2022-09-21T00:00:00
"oSYSLlYtsReLEFiXcYCaHAIXiNgcrVSheVZUTvW","dfDiRSXDZXzeKsASwdNZ/QMWDYQlsRxAkrEjBoS","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","EM/nXxDecbZoUoxZYyPAYTlRZTVYWFITyY/rxjp","1-1:1.8.0",2022-09-09T00:00:00,2022-10-17T00:00:00
"TrNRXQlEBxla/tcWXaFXaWTZHlCVwnxtTwlxbYK","NDpupgpdPIYRQHbEnuURbVoh+QrWqYFrYFuvffX","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","QjFgTSPQqJXwScfsohLDjRwlRytwdWlfVkIAcDF","1-1:1.8.0",2022-09-09T00:00:00,2022-09-21T00:00:00
"TuW/UyetRJRCznWPYyyVOoBtZQWUgpIVHXbhsTm","vPRVFAqXEsjrifH+SMYDSmIWyhswsZMnVZeEEDL","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","gsunUuJCoRcUueV/HMQOFGTANNVnmPN/ZXQxkiQ","1-1:1.8.0",2022-09-09T00:00:00,2022-09-21T00:00:00
"fQBRZQoPR+WDxWhsYflbpMpCYTzVmIOTRuKqU+S","eWfkDxetCGptVHQSZrZTiuKJJ+wXCUMBwdzCJGp","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","eUUAYJsXfYb+ZZUKQdWbMaAhPTCDpXeYhRd/ILY","1-1:1.8.1",2022-09-09T00:00:00,2022-09-27T00:00:00
"WmqyCHQroJCVDrajRQWT+lhPPKCTrKVYpNjSXoM","WYNjtHYuZpZPOgoaCVUuTrLUVjHWvhCTVVcDjkX","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","fvwaSZJsLYdyWNRXcKPqgS+rQUWpjyQeWoVVzka","1-1:1.8.0",2022-09-09T00:00:00,2022-09-21T00:00:00
"TKJkjbyzZbKFVAQxKOpxZvNUAiKSpnXkMVIxxSs","uDGoVjMjrVvxSoguCtqe/JWtaQuFxGzAmHIWNxy","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","xvnilEoXDjzlTsbfGBdcmfO+uSlsYewmkTeobNn","1-1:1.8.0",2022-09-09T00:00:00,2022-10-14T00:00:00
"dbruYN/vEIBOYmWr/RBTRZChdivrPTUfOBRafGT","hK/sOofjbTlvecPXWF+VIpPSfYSCtOyaYfKFaNh","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","qvUWsJETHnRouWNITLXU+Q/MZfpATvhy+eRXRWC","1-1:1.8.0",2022-09-09T00:00:00,2022-10-21T00:00:00
"TgbnTPjfJgfHQRvQZspYxY/pVsRYjtPOAR/NIkp","rcOfOzeXWDyqZDrVggSUAJSHeAKp+kOxXZUYZRC","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","uXxyeSXqkOkTERY+vRVjYboGCTIJsUlPokDQGAI","1-1:1.8.0",2022-09-09T00:00:00,2022-09-21T00:00:00
"Vuc/TDYiyaBUTVnTmcpSRFFTkPeffgjGZjXCMeR","GcTSgUYLKXDSfITJRhhGsESwLBRBmRyvRShBGxi","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","upSVYUIUTOLw/rtVpTViSmBRTYLQ/HYZODWdYWD","1-1:1.8.2",2022-09-09T00:00:00,2022-09-21T00:00:00
"fsPrmTGAQdWVqq+gYpScNsRswZWQYdLrAAph/+e","ZhUXTnxALMTRQDCzQnpysRs+WWYvOaHNVbuqXr+","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","QjrOZZLZToTSuEqSFAqz/lGgWSBkqVwCiQPSu/T","1-1:1.8.0",2022-09-09T00:00:00,2022-09-21T00:00:00
"DkecsBavRVPutdikZKkORMRCfOBBXgJ+VsOKBJh","KrJQbjHVr+tXYdUMaWYTXbcTAUNeEiQkDKaUOI+","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","WTgLUrBdZRQQnrEoQQFQJipULUnZrwnuM+Vy/la","1-0:1.8.0",2022-09-09T00:00:00,2022-09-21T00:00:00
"'+GW+QrVQU+InVSxlcsXSzpdg+BSpcYCdkGcJwtZ","xgjRqQMwUivihWbPaUVhBlSXtAeR/BSLDePXUYm","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","RHOMLjYAcAzTiPLN/zSrOtKeFSQUoq+INwWIAKT","1-0:1.8.2",2022-09-09T00:00:00,2022-10-17T00:00:00
"fwjfdVblnmERVJqwkpEWCdRusWERYjbBfWkDAEQ","fcNYvFcgMrAzUKTZELvlnyhzZcOTxmVcVTS+FXL","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","UHNpXiuzFmhKfwlXmuh/ASSGXKInZxVzQNSNags","1-1:1.8.0",2022-09-09T00:00:00,2022-09-21T00:00:00
"VMdGYzvVVe/sTmm/bxiztgajmxqGWjTMFfYtCxb","IRTTOGRSSXkNvWC/FFNXQnTesjtQTVfSnSMQZXb","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","SQuNfSdvAdAAwUYuYqtKgXYcZQFERQFcfuxaIKe","1-0:1.8.0",2022-09-09T00:00:00,2022-09-21T00:00:00
"IZdRCsSOSWZYTFjUVJ+ynIsRIeshSzvWmaRiekk","BuXQTRkRKTGxtEzzQYEiQPSmuVYOPvvUUxTIltK","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","BZbszSUm/sFZORhyzqDYaUJqPHVSe/xAlFuGYHi","1-1:1.8.0",2022-09-09T00:00:00,2022-09-22T00:00:00
"OSETFveswVaWZUSlXWVNzcEqaYWSY+SXLJXSlvr","bQizUaoFCtWW+WrCLohAzBUiJQUEtVVDUnNtOyG","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","loFWTpIUyAealkVFWnQzAwQLyitXrKaHJgnfOAP","1-1:1.8.0",2022-09-09T00:00:00,2022-09-20T00:00:00
"oFekQLVRLcfILpIKZOxANmRxFVOt/jDdJBDHZMI","YMPRcugQXQkWRKXMekIDZulCwnJ+bxvYQKIlWdX","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","bdWJYp/GJoNjJhaRFRYetWzEZTejLmR/UZdZY+T","1-1:1.8.0",2022-09-09T00:00:00,2022-09-15T00:00:00
"XuKAHF+iUxxVGurpOWvHHoUhcZXKbzFyxFLZ+Ns","cnmZkSauexhElpxElUVELVedIdQnR/TnuBYPT/h","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","ddTopsUYDKWBYhuwTi+BbXVnpixTGZjRXwvPQL/","1-1:1.8.0",2022-09-09T00:00:00,2022-09-28T00:00:00
"mR+EuTAjHJtbtmhZfVeLvdaukHezUF+JkWwYgXN","zQFnqvSGNSEmkUXiFRmNWdyVpxiZUSkHyqTZXlA","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","NQBtbeLTsYvCqEgviDPCTjIGF/SIbpQrUcB+hrV","1-0:1.8.1",2022-09-09T00:00:00,2022-09-22T00:00:00
"kolPqlRkpTUUcAsHCBvUYcoE/XAhXv+RaXKlRlk","ZLuNgiTZU/rZSAUKRWEjaqzOOtMDtkjJVIETkEk","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","bDoZddOXpCnILSYrQRvaxYrjRJxajLE/AzjArMX","1-0:1.8.0",2022-09-09T00:00:00,2022-09-21T00:00:00
"zSU+LOS/vOTQPCRBXiTYfYVtuLOnHZDZACehjtl","WwFJQFXZxVNORRLPjRCcYJvvVdYQOkDEF/lvtYm","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","eGlE/wTqSGVRZANxVBKiStZaK/MiVuREhTdXwQo","1-1:1.8.0",2022-09-09T00:00:00,2022-09-22T00:00:00
"GiPmfWIKjYKzalIYYuVvUlqpeQRoZoRZV/uMkGs","xniPfLOWXoNQsmyAFWfrKYyWtNdiYyszYWGWGFP","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","afpayWb+owekmNKZaXubVrkm+PmBwTXQDLTpUvJ","1-1:1.8.0",2022-09-09T00:00:00,2022-09-21T00:00:00
"pyyBCsrBXbGkyfHdxWSYORqoGJg+rZqdtWceDVF","SZ+NmSXZWtsfnDTpKvQMREpX/zXrRrFAjIQuiUP","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","xJfGVyhPcYcB+jZZeYswUSwPjSlFfeDPKsvXXMI","1-0:1.8.0",2022-09-09T00:00:00,2022-09-19T00:00:00
"BUvWjUvUHd/HTgLxhYZRUUzlKZHHBCGoWdtIUjR","SAoXuVzBUuNNTNXrwEnSKZUHFeUYCtRfDUZWgVk","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","kyAFUYEFfUBUWiFfPGZXhRvYDtk/eldWASrWSAW","1-1:1.8.0",2022-09-09T00:00:00,2022-09-19T00:00:00
"vvsnsarbVuiaclQwPWWVrLpSSfRvixgCuvVsLaq","bRuQrTiCoYTE/xRJlUnrvoCcnzwskBveHniiZQz","01","03","Maschinelle Schätzung","03","Maschinelle Schätzung - SAP","nfpazdevDKTuQWYKZFmJpRzjGhX+W/BR+CWHKRD","1-0:1.8.0",2022-09-09T00:00:00,2023-01-16T00:00:00
"SzOHRllvifWBwTnZepolUeoVVjKqIscFeHr/ceZ","PNGjYzUwSUorUwRwLXHpyaXWRBQRjoLhiAnnXhV","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","EcAAiGWOQMjVbYFUJJ/hQbSJdpYTOJcXR+zW+my","1-0:1.8.0",2022-09-09T00:00:00,2022-09-22T00:00:00
"gVmTWLxRevQTDHstadSZmLVQGUyIj+VXraDQraf","x+YddAfJLlUnuPThmCgDsrZapmKUKz+mWdh/Wl+","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","LrShTUxlSiXGPVbOWYTSRQSETVVNIQvMWqYCnCM","1-1:1.8.2",2022-09-09T00:00:00,2022-09-19T00:00:00
"ASWaSZMLVUOWFkXdhTiXEdY+RVuKYYTIrPKCpuW","CDqYWuAYM/RmmkcRivtxZWRWDYwcuTyxQIUEZTv","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","fguYGnVKxmUcYTIXbIozSHEeYZttvumFiYvRJDB","1-0:1.8.0",2022-09-09T00:00:00,2022-09-19T00:00:00
"RfvTJxwSTUmsUptSkBvZYj+GQZRRecdBTpbFXLW","Aw/JfAC/ELKelWrkZYLxTdPVXZuNpIibeDcRRYt","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","OQ+LXm/gXeIXMYxQVJtTzgJZVvrXzeLQUISDspV","1-1:1.8.0",2022-09-09T00:00:00,2022-09-22T00:00:00
"Gh+qEjXZeEQTuRzXBYRrMZVVISWJDvZfvVTWV+v","XGWWuR+CVxhBXQUOmNVUbimkqgQkuVRAtOQlxQG","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","gCEYUKaRwrP/lKyJlRjFgjTZSjbtqWYzVZSVaA+","1-1:1.8.0",2022-09-09T00:00:00,2022-09-19T00:00:00
"OwYSmVIycByBDWD+Z+DzFsBhLwHEEYQUwjESuax","LP/TwNXZhUjjvYWYhVbROcpVFMiyLUUhYZWavhN","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","jdFUQaVjdUufRXTpQgBtrvbeAYgXa/WQkdPAtlp","1-0:1.8.0",2022-09-09T00:00:00,2022-09-19T00:00:00
"peUDHGYlskPssICiZFYESacHPXtIACSUIsHySRq","TEVZZwsYScOYjCNKFYXYTgsew+ZVjAXfngzHqdm","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","eKCQgWdglVEZUOaKhMXMAVAKPYZFWBpupiTdpHq","1-1:1.8.0",2022-09-09T00:00:00,2022-09-19T00:00:00
"c/RdJsZcBduwTMtoWaQUTiBcnQmGtScfBrOOTOO","baSSVmgiedaHIUOTUtQtJOwQeLhMIZlQfQaojFM","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","sTFgjHESRTNNSxvbkadHILjBqOBgDQyhQRnggmT","1-0:1.8.0",2022-09-09T00:00:00,2022-09-19T00:00:00
"wZOjD+UiVEpbVFsKCWUvM/uUUriTcjChYTBWbXb","QwpLCXdKKfY/QEbnBtYWypwAYWNEvrKvFWYUFEF","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","qoJBNEbVeYZckWZYSTRoQXlCmFTZZGeGXY+TMlK","1-0:1.8.1",2022-09-09T00:00:00,2022-09-21T00:00:00
"'+hGPlUWWfnxbktwWtxvSXeZrnTZ/SrpMoOtXkD+","fEjszasQrUpOt/gzlIgbD/yUUrSXeYEUtBLRZRa","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","WjHUZhdJkvudJRYVzjkYwcKuWVcVpHlbVh+ceka","1-0:1.8.0",2022-09-09T00:00:00,2022-09-19T00:00:00
"DoPQsNoIZWMxRFORY/itXPDYGICZyzy+YCIKMEf","RwSk/NKZEfrGdj/IeWrTnVbXKxXRmiAJRXBUOro","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","g/AFQpSSAkBrWTxOyFCuQeFKBTUVJ/UeAVZILMn","1-1:1.8.0",2022-09-09T00:00:00,2022-09-16T00:00:00
"OSjCMgjlovTlxTWRGj+KxtfDGXyTmOdNuqfifIH","SnfInmz/zfAQWnXQiBoPGuRTApKQXzGzahHeCoO","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","JQIIGHWpRhQc/+yVdUmc+SxXYMMcqKmtTTnSdXz","1-0:1.8.0",2022-09-09T00:00:00,2022-09-19T00:00:00
"YAfvXsUZPWqVXSXBQeYZgtWaaAUPRDJSjFkgCrM","BEmjWtFcruAUfXTUZWGHd+/hxfqoLBlYQX/tDMt","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","SUfnEKJhVQUQgbBR/IerAgmqtZOMhj/HMQHLrYS","1-1:1.8.0",2022-09-09T00:00:00,2022-09-23T00:00:00
"yYxWIeMOTJlXElWaWxZdmZxVWxZB+hEQrojXLwv","LhuuwkaRpENKWQRnbpTrTSWTFSimxcrXYtVtYkl","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","qVFDHYnPbKiWZSNUNYDEnJUTrQyblaSEPVJgqGW","1-0:1.8.0",2022-09-09T00:00:00,2022-10-05T00:00:00
"KSLjqkUtqbXYyQnwFsSEVGWZBNLYuvUfwaVouOR","gHjGTZrCZTHgFnSBZfroXARrdTxhRlReLZdTWmN","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","LTqDqCTSNqBpNQbBfBNAT+WKtMTPPYzG+cKGtOT","1-0:1.8.2",2022-09-09T00:00:00,2022-09-19T00:00:00
"FfkYySXhUJcrwxGoLwZcOgrffIiREVvWZoJUeiK","kRsZXiFdIBQVxPfSXnnhQxlvVKGRJiZZjHZyXPF","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","TUSknQCUNVREldawZXdzoSWKAEz/VTBUFJQAS+R","1-0:1.8.2",2022-09-09T00:00:00,2022-09-21T00:00:00
"SOqwerYUlWCISWMRjeUNoJDXWTizEdaSQQVEWWK","nayBOslSxYQnDUSykKPCRGQxwcU/AbxQQnLCByR","01","01","Ablesung durch EVU","01","Ablesung durch EVU - SAP","XYfhgDx/TZRgsxUYmBknQiGYlkoLTbYGSxd/hLZ","1-1:1.8.0",2022-09-09T00:00:00,2022-09-19T00:00:00
"PXixZR/tgEwjTYSSWrACHVKlQGGjCEMqTysSXYP","mcCKWVBGMJJvUCUHhYRBaGUYmqmNhnyNUVCDUUi","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","PVpTMMPzWpbSilSXdHxwDNESkQFTYFeYOHapwqH","1-0:1.8.0",2022-09-09T00:00:00,2022-09-20T00:00:00
"CIUZTCJlFPQrXVQiMYKCXgvfKhGHSDsbXmUiWxR","MAOIYYbXpUVoxvtfaWoCmuZZbAqtjYmitsvGjte","01","02","Ablesung durch Kunden","02","Ablesung durch Kunden - SAP","SjqKNzQEqVApSNNPXnaRZVTOYVGcUKrXzzqAeoz","1-0:1.8.0",2022-09-09T00:00:00,2022-09-19T00:00:00
