"Installation","Installation type","Record created on","Object changed on","SPARTE_TEXT","AKLASSE","AKLASSE_TEXT","TARIFTYP","TARIFTYP_TEXT","BRANCHE","BRANCHE_TEXT","ABLEINH","ME_MA_ID","HAUS"
"yTiCJ/OlCOMZQt+vyjCMEicptYtVMWNtSOKu+RT","HAUS","2020-09-16T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1702","qLtLz+jXUywjZXWpWWztxoMPsDagECWT+aHRFaW","RRdkWpo+DZjadXFHlLLdglXLlQRVNMWblKBvTtm"
"uCHSjQPrYONhFfTPjZUeSewnUbtevgzYkFjqbcO","","2020-01-24T00:00:00","2020-01-25T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA","Private Haushalte","J09A4011","FVvrLZURpohEsldsUFSnFVVamzWtzlakveQYhuY","fkigvWMMVtv/EPZxhTZcOrIRXWQTXOakdMjUai+"
"HQnZUbIPkBXTQyqEmqukL/sQHHZGdtbiMQj/adg","","2020-01-24T00:00:00","2020-01-25T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA","Private Haushalte","J09A4011","PahhpK/wdwRHRNqSEXOWOhoYRQEVjydsyFKRuhc","pHQrvvxBYRyIMydSSIwgnBRUh+QXHxsZZZQpRa+"
"NWzoOJVOrN/dMGZYYTVQUsqKSnyFPXXWevSGLgS","HAUS","2020-01-24T00:00:00","2020-01-25T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1701","'+ZGQFTPfUgWBAp+LKiz/EMWD+uTvTXQlSWVfLVO","TToseZSR/gRnrLAvhixREHteaReG/PmBgxjvWST"
"'+UCRSUDWRAnMTpCQiQNHhSsDGnivEkRygTuKFdQ","HAUS","2020-01-24T00:00:00","2020-01-25T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1703","BowNfHtCLUUYGYXnZS++ZUIBcwczREVzrZXwMC+","rXRgQmtKEYsZrXSVuhPTWxgxIa/wOWCgkTFZtkq"
"RmRKVEsmTYXOn+OP+YEMMYjeoZRGoWrgQSvzKZK","","2020-01-24T00:00:00","2020-01-25T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA","Private Haushalte","J09A4011","CWNWQVsUfJLBTqywQgImZpI/mVyTVE/KCEt+HmY","kSVsBSDwOTuuDALcggmrQWRRFDIwZAxZJM+h+yQ"
"ORrsmLkSvHWYqGWVqUGE/KSUvdVtJdZkNjRlltG","","2020-01-24T00:00:00","2020-01-25T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA","Private Haushalte","J09A4011","EVTAPFMQUkceydXNFtWZMXCJQGRLxAOahJyYJhO","RXUTKtdMMplTMyawXvSX/lQohFGVWRXE+WHGYXT"
"OKUuKcFQgXkQLuLFTbOLYdUZC/WmIw/lXamkFfJ","WAEP","2020-01-24T00:00:00","2020-01-25T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA","Private Haushalte","J09A1702","VFWrWASbtdXyImnrXYpkgNWItZNIWuFRemsWAsU","jU+IXEWl+mdKwEsMX/JpYkKUhxjkj+OQTTsvOji"
"UqWluVnRwENYsUnToEYUQVXrS/XXXfLUCzZ+xQo","HAUS","2020-01-24T00:00:00","2021-04-21T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1701","bUrlJVJRxuUuvi+nymCAVVTcJqaqlWpWAQTVeIs","bTWJEUTAvFvmgSqCtFXjlJWa/eizpMNgXLOnFjX"
"qxYd+QO/eWMHYPbjNojsTpagwRtQuvJjpQILLII","","2020-01-24T00:00:00","2020-01-25T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA","Private Haushalte","J09A4011","TNTwgUmYrHYZRPFYKbLXdJjKRfJVRbnyTZQCKNJ","'+jqBMwQDTwb+dpsxICusBauWENkVYvXMZsElAFO"
"ajjTbq+UQeDnMqfRMTGpBYSxdYXRrKMXgWmERAu","HAUS","2020-01-24T00:00:00","2020-01-25T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5015","TSdiOLpsHOBsvexRcLcWGERQVZXvVcVbTZzjfoS","tDASZuRZyjeXkuDytbqbVYuWMBAyRXiAayEKwTU"
"ZLeYaFcQTvAYOjwQmTQFBxVVTpQxkBc/kXWAGRR","HAUS","2020-01-24T00:00:00","2020-01-25T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1703","RJWwUwWpSEWcZBreuHSXZ+NDPblVQTg+vlPoUnx","GHtEEgJRttYuSHFPQCSSCa+hwkxnRQZSiXHVyRg"
"SNuiffTZhCVpclVZiSqXUyVPxtIcHUlYZQKkOaO","HAUS","2020-01-24T00:00:00","2020-01-25T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","YYX 999","vorläufig ungeklärte Zuordnung zum Kunde","J09A1704","uwLI+VwYrLJCRPUT+rDhqVKRTQlvUPSiveWISCd","RTgEzKnWzriZHHeIzsNaPVlKZmuvR+EvXqYxRVL"
"PXYdjvzqjRFxEWHSXsF/muPNwNlXx/caiRICtVA","HAUS","2020-01-24T00:00:00","2020-01-25T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5402","l+wvNtjibnSolQyahYcXYomOWPwUFJKvL+WTlO+","pDQsSnFqqDaMIB/YbaEitSTALmjFkvNNsmPQvyI"
"NcXCkTZnxGWavzZyJmSoVBREVRYiGXTZd+Fifya","HAUS","2020-01-24T00:00:00","2020-01-25T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1702","SwXZDuldSXpDGXCffYXmhVRZTZSXpxxrBZUSH+y","BDsKbTYGdcKZZG+oh+syWaZUfUaZcaiWrFTRDST"
"Bz/XHqg/ZuTXVflBMqgIolUr+TAfRPtcUTUUgRY","","2020-01-24T00:00:00","2020-01-25T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA","Private Haushalte","J09A4011","HzWgAHXRRVlQWAOSxaVjYTjAXXMmRmAan/VHbQL","YZFRyjSwuYvQRnBQYOsMNWRCeRxZUGVypUXTzJC"
"ToRYkRiDTuuuQdVejWbpW/Yso+ZUTLRlQAVNY/T","HAUS","2020-01-24T00:00:00","2020-01-25T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-SP1","Strom SLP Speicherhzg. getr.Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5016","nDtaXWaffYUGYTSCmyygPXbHdEoYSxjkxWFJdzk","KQOzYVsJBYBbipPSSmrWZNIeHIqQHQVhgurLYdY"
"gFOSmKRRpTCXGeCUrTgWKUylDuMlsMVSlOIRcGZ","HAUS","2020-01-24T00:00:00","2020-01-25T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A6105","QrQ/qAnmQidYUCyUREKpScSYPaEnqWAWIYhvRZu","/hSvwEcNpPDeTYXYyXowWMVUvPAiUDmLtOVX/cf"
"GmeYplNFViKUZoTMS/dWEXgXoxkYUSbnPZGeETS","HAUS","2020-01-24T00:00:00","2023-12-06T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A6105","Z+CCJlgtRWPvyoRsITIoYFnpojuLcXQmEzteQXR","UeJVudTYhwVKHXbMScroQTMiXKU+WbDJH+ugAvj"
"JKgRweZHpcRpIsKDLDvPRjZincdvjcQxHPZWsVJ","WAEP","2020-01-24T00:00:00","2024-11-04T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XN-SP3","Strom SLP Wärmepumpe getr. Messung","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A6101","ZGxSQr/mRWUbxsbwuALOodNbEVGWYSUkosjoCUa","JOKSi+BMFFqeCw+OIThtCLi/RGbeSlOjGUYapSm"
"OyMrReIxuUgtzxivpZGftuOEQZhRYBTBRMKUNHM","HAUS","2020-12-02T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 952","Private Haushalte in Mehrfamilienhäusern","J09A1704","sBfgkHAPYVQUcVeRFeQVn+BWbRarSqLfOLdCaFu","TQWfTNPyMtkpzLSIV+IIcSWEuYrVmYgayJnZevu"
"XegRqYlHYRMSu+lEwgqchGhjxadRzHWVahGxaMZ","HAUS","2020-01-24T00:00:00","2022-06-08T00:00:00","Strom","SLP","Standard-Lastprofil","ESJ-XNLSP","Strom SLP Speicherhzg. - LP-Gew. HT","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A6105","sVyuKyATHKKxt/brmsgzLQbRWWnSRuqZANZdyTp","uoD/FihPQZaUUCleQYttIOwBReYWDUwOVZFgFCF"
"OoblUYqsKbvraJBtnEaRXsWSuaMLpLKQKiooYme","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","Tzf/UyhJOzVfU+YTgnzHDqsKTKLShYdYEmSYVmS","abRxxh+eYgQrpqfiTQdZPVivpTtVYcCyYZriniS"
"TNNLoUnob+zStIrZxaRYBhSCF+llTvWt/bYyXGO","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1703","uCmvvJY+ZpmC+HThXHBPvzqQBakxiMHlGRBeWba","PdIWDPZDR/+CZZUHVZZlGSUWhuUeoQK/UmlAYa/"
"LJZpVckFBdwZ+PU/gfwbHzTBcVUVQC/uGurZecn","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1704","vKypOuXeQVFpwVwChhnSSXRbCLRc/QdTfCtRROU","wZfTnQKVRKVGvWhYWoUekaWANdiTNlCrPSftWgB"
"GdRQbpXFXytJpECmOcT+GIDDKJVyhsjrfhFNBSd","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1703","vWlyKOyDVShVWGRUzzOuLPCimiXZmKNVyRhBvEQ","BAabkvHzbrAXgbMyTfiOQTLh/GVjiwXSiWSSqkr"
"rzSSvWZhWywZYPuF+WOHUWXXSRgLnl+EWNQDShZ","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1703","nYtFBQFR+aFFKKMiAodzAtUFDTqHFV/YznZAULr","TNcBHlqoXmWjOSfjC/HMn/VyVYpXHjSrvFQzVIl"
"vmAxdrQASTPbVnWvXUVwQEzXQveyedWLJWVyjXH","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 959","Werksangehörige","J09A1704","WyZNWsgScQEVcaQeXFHA+RLWJiVY/JG/KkPhUHG","DNlfcccRDspZkznDKJehEVtyMdQTrRdYQqbomHZ"
"TKmZUBhJav+ExTcpKGeVdxhrUBqvYUSnjgyUHnG","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5015","lCkhQa+DTaLYxUJMgVwMEAzwLUQFhMPpfiNVbyQ","XtRqgAkKplTTtXXiZXFOcToKQMFDnXohJoJejdc"
"Yd+TDHWiaDuUbwNwcQVkPXBmkeFOLTMUfOXLjRf","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5011","EXmytLnohdBbNVaiNAY/WWWwlXQmUxmmeKnlTHJ","IlXHXlxnzIBWCXvUxlvloef/plaVOQUCTaBKikJ"
"guVsz/QA/jkZu/Y+rYlTYbOuv+UuZOScxkvxJKw","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1704","kuZTYwNSRYNMixqYtYqG+kaClYWUSMXsXLuPxoe","gZgD+EALJkScaaxQA/GOZVDTmTKXPiGXPBw/HQX"
"vA/QBVobtWaB/xSTBVEscNKPxJWyfIyAwCBxHcE","EINZ","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","YYX 998","Leerstehende Gewerberäume","J09A5017","F/HlTJasZmG+BJHQKebPbRjelYXQjjp+gqWhPR/","YP/pKxekBhjyoCvWRyfvpqd+PGVAQbf+uOmUVeD"
"SetjwtdWDpiHwCdUUFRkkKnqHgGMAUcdGHqJhYx","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5401","lkXnUvNPspeArQWVHYYodufmfhK+nOeBnOAQWR/","xPS+kyceCyBWYZkawWFRlLRVVLOHMWYYYvXpnMr"
"RBWcYEWtTEQPwmVIDvxhjd/zcAucp/WZvjsRHCU","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5014","qIev/VYtrpXtikhXV+IuPQRXxsCQYbdxRLxJkk+","KMWvJXEDyxLzhbUZGqcutkiZanNUKaissbe/JOX"
"k+GbYKEWzeuggIjRe/QrXtAYSWvvvDWnWXqgUwt","1000","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1704","KTRDXbEUBuxPW/uxJTTewooSKPLPNkGMhUcxQVQ","oacSUalJhNUPwwQfWnXqMCWJ+bZuQfVUotBDxRW"
"NISTAhlOaqUDcROKZZTtWAYnYOATWVRWtVhaoUZ","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1704","YQWvYTRZZmmNWQsMiiPNCAnhVuKfCRoUZR/oQuK","mZWbdWVYAdUcSmpBTYUwsxQGDSKOpmlIZgLULqv"
"SJYxYBvRwxJZNHXEFUsNXGUeGWSuiShEhFDlmAe","1114","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5402","/kQyMDKoCmrXwTlzYtyU+jsqqJDWWKjcWRaHYNs","CuZgVLCppbnuDWAGHuXgPOmsxmAzTCJODGakaXX"
"UTRcrBwnSRYjYxTAQrgGlUehLwjGyMrZufKSSYy","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A5015","Wadg+rzfbGpqoSZFCwMdwZWDVXfBRiYKRUvdXhY","lSQWTPVNOXVwY+NeL+JgEOQDGALswVYMLnKImdw"
"QIsRTskEIdZjTKXKVZC/GQUnFtsZwuXhaVtWRdI","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1704","vWUepssKXGKzMXXJPmvYSRbcBJbtBwqQsyrgcmD","ORvSUTSdMwYQgAtCcPZVhojZsSUBVrFdcoE+RiV"
"EXS/sLPgJpJuRWfFRIHRhVxSYYYaewJZopXUriV","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","biKXVsZXYtYZGTjQPzllCNKFFcKmJaQVqwzSXR/","uVXTkDRVoFWPkTRUv/ZLUfxSP/PVdVWQW/KxqMZ"
"NGRkLnZuySRnVRIu+roZYcHKZm+hpgPpDTszbrZ","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","zWvQRrNlxfMWT+UICWGTPvPzAfT/cLSBhKxtbng","vQYz/KgDemDXQIHJsS/NawTYtIQnTLVYTzoEfGZ"
"PTpPetDmNpVYHiAkSVWAmgdhBrrXUyWeSK/oVUf","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","//ZEsPblMZkvJqQoUYmV/ERpf/gvsoiBrQeFIsc","bbohZVeCTlnZNWodVSD+tjmDWNUGTTlpIZrUuZG"
"wuSF/RbmOZlSjak+tQPzToQqXqGTmmdHFUMRrJW","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","CRMSOAm/XXBXhgKcecmGzsXVQD+PTCDwnFDNDJL","hEgWujjnKyzVrfIXoSRgqzZ+vcUfOISeEP+QJcw"
"RBgpKWVYNPGXWhZpp+OHPXfwgVgTC+aeQBDjWwt","","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA","Private Haushalte","J09A4011","yGUTsmKRn+DBoQckJqoVxpuMfVEiVsQbKbTu/RS","CrWIQUcnLgZMRDkVbh/qZJtzxZSTAMYnSSYJHPd"
"WxbqZBVBeUWGVUeHpCVSidQe+dkaTHUpvyaHXuA","HAUS","2020-01-24T00:00:00","","Strom","SLP","Standard-Lastprofil","ESJ-XN-LP","Strom SLP ohne Leistung (Lastprofil gew)","PPA 951","Private Haushalte in 1- u. 2-Familienhäu","J09A1701","IsRoHTivStDysVNXMEmAHZQdngQSfMJNsyBBmEA","ITZhQPsMNRCTRJlahWi+vvISvSCCDSvQWCRYYqi"
